quarter,credit_quality_ratio_percent,source_measure,measurement_basis,measurement_note,source_sheet
2004Q3,0.5,Impaired facilities to loans and advances,impaired facilities to loans and advances,APRA impaired-facilities measure used before the March 2022 APS 220 publication update.,Tab 1g
2004Q4,0.4,Impaired facilities to loans and advances,impaired facilities to loans and advances,APRA impaired-facilities measure used before the March 2022 APS 220 publication update.,Tab 1g
2005Q1,0.3,Impaired facilities to loans and advances,impaired facilities to loans and advances,APRA impaired-facilities measure used before the March 2022 APS 220 publication update.,Tab 1g
2005Q2,0.3,Impaired facilities to loans and advances,impaired facilities to loans and advances,APRA impaired-facilities measure used before the March 2022 APS 220 publication update.,Tab 1g
2005Q3,0.3,Impaired facilities to loans and advances,impaired facilities to loans and advances,APRA impaired-facilities measure used before the March 2022 APS 220 publication update.,Tab 1g
2005Q4,0.3,Impaired facilities to loans and advances,impaired facilities to loans and advances,APRA impaired-facilities measure used before the March 2022 APS 220 publication update.,Tab 1g
2006Q1,0.3,Impaired facilities to loans and advances,impaired facilities to loans and advances,APRA impaired-facilities measure used before the March 2022 APS 220 publication update.,Tab 1g
2006Q2,0.3,Impaired facilities to loans and advances,impaired facilities to loans and advances,APRA impaired-facilities measure used before the March 2022 APS 220 publication update.,Tab 1g
2006Q3,0.2,Impaired facilities to loans and advances,impaired facilities to loans and advances,APRA impaired-facilities measure used before the March 2022 APS 220 publication update.,Tab 1g
2006Q4,0.3,Impaired facilities to loans and advances,impaired facilities to loans and advances,APRA impaired-facilities measure used before the March 2022 APS 220 publication update.,Tab 1g
2007Q1,0.3,Impaired facilities to loans and advances,impaired facilities to loans and advances,APRA impaired-facilities measure used before the March 2022 APS 220 publication update.,Tab 1g
2007Q2,0.3,Impaired facilities to loans and advances,impaired facilities to loans and advances,APRA impaired-facilities measure used before the March 2022 APS 220 publication update.,Tab 1g
2007Q3,0.3,Impaired facilities to loans and advances,impaired facilities to loans and advances,APRA impaired-facilities measure used before the March 2022 APS 220 publication update.,Tab 1g
2007Q4,0.3,Impaired facilities to loans and advances,impaired facilities to loans and advances,APRA impaired-facilities measure used before the March 2022 APS 220 publication update.,Tab 1g
2008Q1,0.5,Impaired facilities to loans and advances,impaired facilities to loans and advances,APRA impaired-facilities measure used before the March 2022 APS 220 publication update.,Tab 1g
2008Q2,0.5,Impaired facilities to loans and advances,impaired facilities to loans and advances,APRA impaired-facilities measure used before the March 2022 APS 220 publication update.,Tab 1g
2008Q3,0.7000000000000001,Impaired facilities to loans and advances,impaired facilities to loans and advances,APRA impaired-facilities measure used before the March 2022 APS 220 publication update.,Tab 1g
2008Q4,1.0,Impaired facilities to loans and advances,impaired facilities to loans and advances,APRA impaired-facilities measure used before the March 2022 APS 220 publication update.,Tab 1g
2009Q1,1.2,Impaired facilities to loans and advances,impaired facilities to loans and advances,APRA impaired-facilities measure used before the March 2022 APS 220 publication update.,Tab 1g
2009Q2,1.5,Impaired facilities to loans and advances,impaired facilities to loans and advances,APRA impaired-facilities measure used before the March 2022 APS 220 publication update.,Tab 1g
2009Q3,1.5,Impaired facilities to loans and advances,impaired facilities to loans and advances,APRA impaired-facilities measure used before the March 2022 APS 220 publication update.,Tab 1g
2009Q4,1.5,Impaired facilities to loans and advances,impaired facilities to loans and advances,APRA impaired-facilities measure used before the March 2022 APS 220 publication update.,Tab 1g
2010Q1,1.6,Impaired facilities to loans and advances,impaired facilities to loans and advances,APRA impaired-facilities measure used before the March 2022 APS 220 publication update.,Tab 1g
2010Q2,1.6,Impaired facilities to loans and advances,impaired facilities to loans and advances,APRA impaired-facilities measure used before the March 2022 APS 220 publication update.,Tab 1g
2010Q3,1.6,Impaired facilities to loans and advances,impaired facilities to loans and advances,APRA impaired-facilities measure used before the March 2022 APS 220 publication update.,Tab 1g
2010Q4,1.5,Impaired facilities to loans and advances,impaired facilities to loans and advances,APRA impaired-facilities measure used before the March 2022 APS 220 publication update.,Tab 1g
2011Q1,1.4000000000000001,Impaired facilities to loans and advances,impaired facilities to loans and advances,APRA impaired-facilities measure used before the March 2022 APS 220 publication update.,Tab 1g
2011Q2,1.4000000000000001,Impaired facilities to loans and advances,impaired facilities to loans and advances,APRA impaired-facilities measure used before the March 2022 APS 220 publication update.,Tab 1g
2011Q3,1.4000000000000001,Impaired facilities to loans and advances,impaired facilities to loans and advances,APRA impaired-facilities measure used before the March 2022 APS 220 publication update.,Tab 1g
2011Q4,1.4000000000000001,Impaired facilities to loans and advances,impaired facilities to loans and advances,APRA impaired-facilities measure used before the March 2022 APS 220 publication update.,Tab 1g
2012Q1,1.3,Impaired facilities to loans and advances,impaired facilities to loans and advances,APRA impaired-facilities measure used before the March 2022 APS 220 publication update.,Tab 1g
2012Q2,1.3,Impaired facilities to loans and advances,impaired facilities to loans and advances,APRA impaired-facilities measure used before the March 2022 APS 220 publication update.,Tab 1g
2012Q3,1.2,Impaired facilities to loans and advances,impaired facilities to loans and advances,APRA impaired-facilities measure used before the March 2022 APS 220 publication update.,Tab 1g
