quarter,cash_rate
1995Q1,7.5
1995Q2,7.5
1995Q3,7.5
1995Q4,7.5
1996Q1,7.5
1996Q2,7.5
1996Q3,7.0
1996Q4,6.5
1997Q1,6.0
1997Q2,5.666666666666667
1997Q3,5.0
1997Q4,5.0
1998Q1,5.0
1998Q2,5.0
1998Q3,5.0
1998Q4,4.916666666666667
1999Q1,4.75
1999Q2,4.75
1999Q3,4.75
1999Q4,4.916666666666667
2000Q1,5.333333333333333
2000Q2,5.916666666666667
2000Q3,6.166666666666667
2000Q4,6.25
2001Q1,5.833333333333333
2001Q2,5.0
2001Q3,4.916666666666667
2001Q4,4.416666666666667
2002Q1,4.25
2002Q2,4.5
2002Q3,4.75
2002Q4,4.75
2003Q1,4.75
2003Q2,4.75
2003Q3,4.75
2003Q4,5.0
2004Q1,5.25
2004Q2,5.25
2004Q3,5.25
2004Q4,5.25
2005Q1,5.333333333333333
2005Q2,5.5
2005Q3,5.5
2005Q4,5.5
2006Q1,5.5
2006Q2,5.666666666666667
2006Q3,5.916666666666667
2006Q4,6.166666666666667
2007Q1,6.25
2007Q2,6.25
2007Q3,6.416666666666667
2007Q4,6.666666666666667
2008Q1,7.0
2008Q2,7.25
2008Q3,7.166666666666667
2008Q4,5.166666666666667
2009Q1,3.5833333333333335
2009Q2,3.0
2009Q3,3.0
2009Q4,3.5
2010Q1,3.8333333333333335
2010Q2,4.416666666666667
2010Q3,4.5
2010Q4,4.666666666666667
2011Q1,4.75
2011Q2,4.75
2011Q3,4.75
2011Q4,4.5
2012Q1,4.25
2012Q2,3.8333333333333335
2012Q3,3.5
2012Q4,3.1666666666666665
2013Q1,3.0
2013Q2,2.8333333333333335
2013Q3,2.5833333333333335
2013Q4,2.5
2014Q1,2.5
2014Q2,2.5
2014Q3,2.5
2014Q4,2.5
2015Q1,2.3333333333333335
2015Q2,2.0833333333333335
2015Q3,2.0
2015Q4,2.0
2016Q1,2.0
2016Q2,1.8333333333333333
2016Q3,1.5833333333333333
2016Q4,1.5
2017Q1,1.5
2017Q2,1.5
2017Q3,1.5
2017Q4,1.5
2018Q1,1.5
2018Q2,1.5
2018Q3,1.5
2018Q4,1.5
2019Q1,1.5
2019Q2,1.4166666666666667
2019Q3,1.0
2019Q4,0.75
2020Q1,0.5833333333333334
2020Q2,0.25
2020Q3,0.25
2020Q4,0.15
2021Q1,0.10000000000000002
2021Q2,0.10000000000000002
2021Q3,0.10000000000000002
2021Q4,0.10000000000000002
2022Q1,0.10000000000000002
2022Q2,0.4333333333333333
2022Q3,1.8500000000000003
2022Q4,2.85
2023Q1,3.35
2023Q2,3.85
2023Q3,4.1
2023Q4,4.266666666666667
2024Q1,4.35
2024Q2,4.35
2024Q3,4.35
2024Q4,4.35
2025Q1,4.183333333333333
2025Q2,3.9333333333333336
2025Q3,3.6833333333333336
2025Q4,3.6
