quarter,cpi_yoy
1995Q1,3.9
1995Q2,4.5
1995Q3,5.1
1995Q4,4.9
1996Q1,3.8
1996Q2,3.1
1996Q3,2.1
1996Q4,1.7
1997Q1,1.2
1997Q2,0.3
1997Q3,-0.3
1997Q4,-0.3
1998Q1,-0.1
1998Q2,0.7
1998Q3,1.3
1998Q4,1.5
1999Q1,1.2
1999Q2,1.0
1999Q3,1.6
1999Q4,1.8
2000Q1,2.8
2000Q2,3.1
2000Q3,6.1
2000Q4,5.8
2001Q1,6.0
2001Q2,6.1
2001Q3,2.5
2001Q4,3.1
2002Q1,3.0
2002Q2,2.8
2002Q3,3.3
2002Q4,3.1
2003Q1,3.4
2003Q2,2.6
2003Q3,2.5
2003Q4,2.4
2004Q1,1.9
2004Q2,2.5
2004Q3,2.3
2004Q4,2.6
2005Q1,2.4
2005Q2,2.5
2005Q3,3.1
2005Q4,2.7
2006Q1,3.0
2006Q2,4.0
2006Q3,3.8
2006Q4,3.3
2007Q1,2.5
2007Q2,2.1
2007Q3,1.8
2007Q4,3.0
2008Q1,4.3
2008Q2,4.4
2008Q3,5.0
2008Q4,3.7
2009Q1,2.3
2009Q2,1.5
2009Q3,1.2
2009Q4,2.1
2010Q1,2.9
2010Q2,3.0
2010Q3,2.9
2010Q4,2.6
2011Q1,3.4
2011Q2,3.7
2011Q3,3.4
2011Q4,3.0
2012Q1,1.5
2012Q2,1.2
2012Q3,1.9
2012Q4,2.1
2013Q1,2.5
2013Q2,2.4
2013Q3,2.3
2013Q4,2.6
2014Q1,2.9
2014Q2,3.1
2014Q3,2.3
2014Q4,1.7
2015Q1,1.3
2015Q2,1.5
2015Q3,1.4
2015Q4,1.7
2016Q1,1.3
2016Q2,1.0
2016Q3,1.4
2016Q4,1.4
2017Q1,2.1
2017Q2,1.9
2017Q3,1.8
2017Q4,2.1
2018Q1,2.0
2018Q2,2.1
2018Q3,2.0
2018Q4,1.7
2019Q1,1.2
2019Q2,1.5
2019Q3,1.7
2019Q4,1.8
2020Q1,2.3
2020Q2,-0.3
2020Q3,0.7
2020Q4,0.9
2021Q1,0.9
2021Q2,3.8
2021Q3,3.0
2021Q4,3.7
2022Q1,5.2
2022Q2,6.2
2022Q3,7.3
2022Q4,7.8
2023Q1,7.1
2023Q2,6.0
2023Q3,5.3
2023Q4,4.0
2024Q1,3.7
2024Q2,3.8
2024Q3,2.9
2024Q4,2.4
2025Q1,2.4
2025Q2,2.2
2025Q3,3.2
2025Q4,3.7
