quarter,household_spending
2012Q3,44039.200000000004
2012Q4,44141.13333333333
2013Q1,44772.200000000004
2013Q2,44949.6
2013Q3,45472.1
2013Q4,45786.833333333336
2014Q1,46486.666666666664
2014Q2,46772.46666666667
2014Q3,47220.666666666664
2014Q4,47501.96666666667
2015Q1,48003.799999999996
2015Q2,48530.9
2015Q3,49184.03333333333
2015Q4,49385.0
2016Q1,49484.833333333336
2016Q2,50434.86666666667
2016Q3,50540.200000000004
2016Q4,51053.73333333334
2017Q1,51499.26666666666
2017Q2,51960.1
2017Q3,52061.833333333336
2017Q4,53208.93333333333
2018Q1,53655.73333333334
2018Q2,54841.73333333334
2018Q3,55127.166666666664
2018Q4,55791.96666666667
2019Q1,55544.6
2019Q2,54856.833333333336
2019Q3,55029.36666666666
2019Q4,54989.833333333336
2020Q1,53867.700000000004
2020Q2,47845.53333333333
2020Q3,52807.73333333334
2020Q4,54045.73333333334
2021Q1,54329.9
2021Q2,55165.9
2021Q3,52460.13333333333
2021Q4,58223.700000000004
2022Q1,61392.799999999996
2022Q2,65356.93333333333
2022Q3,67864.16666666667
2022Q4,69441.3
2023Q1,70466.53333333334
2023Q2,71177.16666666667
2023Q3,71993.40000000001
2023Q4,72240.36666666667
2024Q1,73022.96666666666
2024Q2,73180.40000000001
2024Q3,73351.2
2024Q4,74638.7
2025Q1,75593.0
2025Q2,76410.26666666666
2025Q3,77058.83333333333
2025Q4,78673.0
2026Q1,79532.63333333333
2026Q2,80622.2
2026Q3,82338.3
