quarter,inflation_expectations_business
1995Q1,4.02
1995Q2,4.39
1995Q3,3.28
1995Q4,2.58
1996Q1,2.26
1996Q2,2.18
1996Q3,1.81
1996Q4,1.57
1997Q1,1.93
1997Q2,1.77
1997Q3,1.49
1997Q4,1.69
1998Q1,2.06
1998Q2,1.53
1998Q3,1.49
1998Q4,1.04
1999Q1,1.0
1999Q2,1.08
1999Q3,1.21
1999Q4,1.37
2000Q1,1.89
2000Q2,3.47
2000Q3,2.06
2000Q4,2.64
2001Q1,1.53
2001Q2,2.29
2001Q3,1.64
2001Q4,1.32
2002Q1,1.58
2002Q2,1.87
2002Q3,1.79
2002Q4,1.53
2003Q1,1.74
2003Q2,1.18
2003Q3,1.38
2003Q4,1.2
2004Q1,1.08
2004Q2,1.93
2004Q3,1.85
2004Q4,1.48
2005Q1,1.65
2005Q2,1.91
2005Q3,1.59
2005Q4,1.56
2006Q1,1.74
2006Q2,2.44
2006Q3,1.78
2006Q4,1.86
2007Q1,1.65
2007Q2,2.09
2007Q3,1.86
2007Q4,2.28
2008Q1,2.36
2008Q2,3.38
2008Q3,2.45
2008Q4,1.94
2009Q1,0.42
2009Q2,0.85
2009Q3,0.92
2009Q4,1.12
2010Q1,1.19
2010Q2,2.1
2010Q3,1.16
2010Q4,1.31
2011Q1,1.34
2011Q2,2.02
2011Q3,1.04
2011Q4,1.21
2012Q1,0.98
2012Q2,1.99
2012Q3,0.78
2012Q4,0.65
2013Q1,0.72
2013Q2,1.51
2013Q3,1.13
2013Q4,1.36
2014Q1,1.12
2014Q2,1.5
2014Q3,0.75
2014Q4,1.22
2015Q1,1.37
2015Q2,1.42
2015Q3,0.91
2015Q4,0.92
2016Q1,0.82
2016Q2,1.04
2016Q3,0.8
2016Q4,1.06
2017Q1,1.09
2017Q2,1.64
2017Q3,0.82
2017Q4,1.16
2018Q1,1.41
2018Q2,1.97
2018Q3,1.13
2018Q4,1.28
2019Q1,1.01
2019Q2,1.72
2019Q3,0.98
2019Q4,1.08
2020Q1,0.71
2020Q2,0.24
2020Q3,0.19
2020Q4,1.4
2021Q1,1.51
2021Q2,2.84
2021Q3,2.08
2021Q4,3.39
2022Q1,3.55
2022Q2,5.28
2022Q3,3.81
2022Q4,3.89
2023Q1,3.18
2023Q2,4.18
2023Q3,2.19
2023Q4,2.78
2024Q1,2.0
2024Q2,3.12
2024Q3,1.72
2024Q4,2.01
2025Q1,1.71
2025Q2,2.47
2025Q3,1.65
2025Q4,1.91
2026Q1,1.99
2026Q2,3.59
2026Q3,
2026Q4,
