quarter,producer_price_index
1998Q3,71.3
1998Q4,70.9
1999Q1,70.7
1999Q2,70.9
1999Q3,71.5
1999Q4,72.1
2000Q1,73.1
2000Q2,74.4
2000Q3,74.8
2000Q4,75.9
2001Q1,75.8
2001Q2,77.0
2001Q3,76.8
2001Q4,77.2
2002Q1,77.3
2002Q2,77.5
2002Q3,77.8
2002Q4,78.2
2003Q1,78.8
2003Q2,78.5
2003Q3,79.0
2003Q4,79.0
2004Q1,79.5
2004Q2,80.4
2004Q3,81.5
2004Q4,82.4
2005Q1,82.4
2005Q2,83.1
2005Q3,84.3
2005Q4,84.9
2006Q1,85.5
2006Q2,86.8
2006Q3,87.7
2006Q4,87.9
2007Q1,87.9
2007Q2,88.8
2007Q3,89.8
2007Q4,90.4
2008Q1,92.1
2008Q2,93.0
2008Q3,94.8
2008Q4,96.1
2009Q1,95.8
2009Q2,95.0
2009Q3,95.1
2009Q4,94.7
2010Q1,95.6
2010Q2,95.9
2010Q3,97.2
2010Q4,97.3
2011Q1,98.4
2011Q2,99.2
2011Q3,99.8
2011Q4,100.1
2012Q1,99.8
2012Q2,100.3
2012Q3,100.9
2012Q4,101.1
2013Q1,101.4
2013Q2,101.5
2013Q3,102.8
2013Q4,103.0
2014Q1,103.9
2014Q2,103.8
2014Q3,104.0
2014Q4,104.1
2015Q1,104.6
2015Q2,104.9
2015Q3,105.8
2015Q4,106.1
2016Q1,105.9
2016Q2,106.0
2016Q3,106.3
2016Q4,106.8
2017Q1,107.3
2017Q2,107.8
2017Q3,108.0
2017Q4,108.6
2018Q1,109.1
2018Q2,109.4
2018Q3,110.3
2018Q4,110.8
2019Q1,111.2
2019Q2,111.6
2019Q3,112.1
2019Q4,112.4
2020Q1,112.6
2020Q2,111.2
2020Q3,111.7
2020Q4,112.3
2021Q1,112.8
2021Q2,113.6
2021Q3,114.9
2021Q4,116.4
2022Q1,118.3
2022Q2,120.0
2022Q3,122.3
2022Q4,123.2
2023Q1,124.1
2023Q2,124.7
2023Q3,127.0
2023Q4,128.2
2024Q1,129.4
2024Q2,130.7
2024Q3,132.0
2024Q4,133.0
2025Q1,134.2
2025Q2,135.2
2025Q3,136.6
2025Q4,137.7
