quarter,trimmed_mean_cpi_index
1995Q1,63.0615
1995Q2,63.6291
1995Q3,64.2654
1995Q4,64.7153
1996Q1,65.1036
1996Q2,65.5593
1996Q3,65.8871
1996Q4,66.2165
1997Q1,66.68
1997Q2,66.88
1997Q3,67.0138
1997Q4,67.4829
1998Q1,67.8203
1998Q2,68.1594
1998Q3,68.3639
1998Q4,68.6374
1999Q1,68.9806
1999Q2,69.3255
1999Q3,69.8801
1999Q4,70.2994
2000Q1,70.7915
2000Q2,71.2162
2000Q3,71.5723
2000Q4,72.0017
2001Q1,72.7217
2001Q2,73.3035
2001Q3,73.8166
2001Q4,74.4071
2002Q1,75.0024
2002Q2,75.4523
2002Q3,75.9529
2002Q4,76.5079
2003Q1,77.143
2003Q2,77.5648
2003Q3,78.0843
2003Q4,78.6079
2004Q1,79.1326
2004Q2,79.6132
2004Q3,80.0967
2004Q4,80.7496
2005Q1,81.2698
2005Q2,81.787
2005Q3,82.2983
2005Q4,82.8475
2006Q1,83.5365
2006Q2,84.2385
2006Q3,84.8227
2006Q4,85.3291
2007Q1,85.8096
2007Q2,86.5683
2007Q3,87.3111
2007Q4,88.3656
2008Q1,89.3808
2008Q2,90.4108
2008Q3,91.5341
2008Q4,92.1751
2009Q1,93.0161
2009Q2,93.6323
2009Q3,94.3341
2009Q4,95.0881
2010Q1,95.8685
2010Q2,96.2438
2010Q3,96.7931
2010Q4,97.2035
2011Q1,98.0166
2011Q2,98.8082
2011Q3,99.1982
2011Q4,99.8224
2012Q1,100.2256
2012Q2,100.7538
2012Q3,101.4758
2012Q4,101.9856
2013Q1,102.5412
2013Q2,103.1415
2013Q3,103.9015
2013Q4,104.7005
2014Q1,105.2654
2014Q2,105.998
2014Q3,106.3991
2014Q4,107.0159
2015Q1,107.6785
2015Q2,108.3242
2015Q3,108.647
2015Q4,109.274
2016Q1,109.5377
2016Q2,110.08
2016Q3,110.4283
2016Q4,110.8876
2017Q1,111.4062
2017Q2,111.9325
2017Q3,112.3485
2017Q4,112.7532
2018Q1,113.3107
2018Q2,113.7699
2018Q3,114.2497
2018Q4,114.7678
2019Q1,115.0932
2019Q2,115.5306
2019Q3,115.9729
2019Q4,116.4715
2020Q1,117.0305
2020Q2,116.9811
2020Q3,117.3597
2020Q4,117.9426
2021Q1,118.3542
2021Q2,118.8981
2021Q3,119.8248
2021Q4,121.038
2022Q1,122.8385
2022Q2,124.7614
2022Q3,127.0163
2022Q4,129.2225
2023Q1,130.81
2023Q2,131.9687
2023Q3,133.5339
2023Q4,134.7043
2024Q1,136.0942
2024Q2,137.2649
2024Q3,138.3395
2024Q4,139.0539
2025Q1,140.0847
2025Q2,140.9555
2025Q3,142.3925
2025Q4,143.7064
