quarter,trimmed_mean_cpi_yoy
1995Q1,2.2
1995Q2,2.5
1995Q3,2.9
1995Q4,3.1
1996Q1,3.2
1996Q2,3.0
1996Q3,2.5
1996Q4,2.3
1997Q1,2.4
1997Q2,2.0
1997Q3,1.7
1997Q4,1.9
1998Q1,1.7
1998Q2,1.9
1998Q3,2.0
1998Q4,1.7
1999Q1,1.7
1999Q2,1.7
1999Q3,2.2
1999Q4,2.4
2000Q1,2.6
2000Q2,2.7
2000Q3,2.4
2000Q4,2.4
2001Q1,2.7
2001Q2,2.9
2001Q3,3.1
2001Q4,3.3
2002Q1,3.1
2002Q2,2.9
2002Q3,2.9
2002Q4,2.8
2003Q1,2.9
2003Q2,2.8
2003Q3,2.8
2003Q4,2.7
2004Q1,2.6
2004Q2,2.6
2004Q3,2.6
2004Q4,2.7
2005Q1,2.7
2005Q2,2.7
2005Q3,2.7
2005Q4,2.6
2006Q1,2.8
2006Q2,3.0
2006Q3,3.1
2006Q4,3.0
2007Q1,2.7
2007Q2,2.8
2007Q3,2.9
2007Q4,3.6
2008Q1,4.2
2008Q2,4.4
2008Q3,4.8
2008Q4,4.3
2009Q1,4.1
2009Q2,3.6
2009Q3,3.1
2009Q4,3.2
2010Q1,3.1
2010Q2,2.8
2010Q3,2.6
2010Q4,2.2
2011Q1,2.2
2011Q2,2.7
2011Q3,2.5
2011Q4,2.7
2012Q1,2.3
2012Q2,2.0
2012Q3,2.3
2012Q4,2.2
2013Q1,2.3
2013Q2,2.4
2013Q3,2.4
2013Q4,2.7
2014Q1,2.7
2014Q2,2.8
2014Q3,2.4
2014Q4,2.2
2015Q1,2.3
2015Q2,2.2
2015Q3,2.1
2015Q4,2.1
2016Q1,1.7
2016Q2,1.6
2016Q3,1.6
2016Q4,1.5
2017Q1,1.7
2017Q2,1.7
2017Q3,1.7
2017Q4,1.7
2018Q1,1.7
2018Q2,1.6
2018Q3,1.7
2018Q4,1.8
2019Q1,1.6
2019Q2,1.5
2019Q3,1.5
2019Q4,1.5
2020Q1,1.7
2020Q2,1.3
2020Q3,1.2
2020Q4,1.3
2021Q1,1.1
2021Q2,1.6
2021Q3,2.1
2021Q4,2.6
2022Q1,3.8
2022Q2,4.9
2022Q3,6.0
2022Q4,6.8
2023Q1,6.5
2023Q2,5.8
2023Q3,5.1
2023Q4,4.2
2024Q1,4.0
2024Q2,4.0
2024Q3,3.6
2024Q4,3.2
2025Q1,2.9
2025Q2,2.7
2025Q3,2.9
2025Q4,3.3
