quarter,wage_price_index
1997Q3,66.7
1997Q4,67.3
1998Q1,67.8
1998Q2,68.2
1998Q3,68.9
1998Q4,69.3
1999Q1,70.0
1999Q2,70.3
1999Q3,71.0
1999Q4,71.4
2000Q1,71.9
2000Q2,72.3
2000Q3,73.2
2000Q4,73.8
2001Q1,74.6
2001Q2,75.0
2001Q3,75.8
2001Q4,76.4
2002Q1,76.9
2002Q2,77.4
2002Q3,78.3
2002Q4,78.9
2003Q1,79.7
2003Q2,80.1
2003Q3,81.1
2003Q4,81.9
2004Q1,82.5
2004Q2,82.9
2004Q3,84.0
2004Q4,84.8
2005Q1,85.7
2005Q2,86.3
2005Q3,87.5
2005Q4,88.3
2006Q1,89.2
2006Q2,89.9
2006Q3,90.9
2006Q4,91.8
2007Q1,92.8
2007Q2,93.5
2007Q3,94.8
2007Q4,95.7
2008Q1,96.6
2008Q2,97.5
2008Q3,98.6
2008Q4,99.8
2009Q1,100.5
2009Q2,101.1
2009Q3,102.0
2009Q4,102.7
2010Q1,103.6
2010Q2,104.2
2010Q3,105.7
2010Q4,106.6
2011Q1,107.6
2011Q2,108.2
2011Q3,109.5
2011Q4,110.5
2012Q1,111.4
2012Q2,112.2
2012Q3,113.5
2012Q4,114.3
2013Q1,115.0
2013Q2,115.5
2013Q3,116.6
2013Q4,117.2
2014Q1,118.0
2014Q2,118.5
2014Q3,119.5
2014Q4,120.2
2015Q1,120.7
2015Q2,121.2
2015Q3,122.2
2015Q4,122.7
2016Q1,123.2
2016Q2,123.7
2016Q3,124.6
2016Q4,125.1
2017Q1,125.6
2017Q2,126.1
2017Q3,127.1
2017Q4,127.7
2018Q1,128.2
2018Q2,128.7
2018Q3,130.0
2018Q4,130.6
2019Q1,131.2
2019Q2,131.8
2019Q3,132.9
2019Q4,133.5
2020Q1,134.1
2020Q2,134.1
2020Q3,134.7
2020Q4,135.4
2021Q1,136.1
2021Q2,136.5
2021Q3,137.7
2021Q4,138.5
2022Q1,139.3
2022Q2,140.1
2022Q3,142.1
2022Q4,143.2
2023Q1,144.3
2023Q2,145.2
2023Q3,147.9
2023Q4,149.3
2024Q1,150.2
2024Q2,151.1
2024Q3,153.1
2024Q4,154.1
2025Q1,155.3
2025Q2,156.2
2025Q3,158.3
2025Q4,159.4
2026Q1,160.3
2026Q2,161.2
