date,cpi_qoq
1995-01-01,1.6
1995-04-01,1.3
1995-07-01,1.2
1995-10-01,0.8
1996-01-01,0.5
1996-04-01,0.6
1996-07-01,0.3
1996-10-01,0.3
1997-01-01,0.0
1997-04-01,-0.3
1997-07-01,-0.3
1997-10-01,0.3
1998-01-01,0.1
1998-04-01,0.6
1998-07-01,0.3
1998-10-01,0.4
1999-01-01,-0.1
1999-04-01,0.4
1999-07-01,0.9
1999-10-01,0.6
2000-01-01,0.9
2000-04-01,0.7
2000-07-01,3.8
2000-10-01,0.3
2001-01-01,1.1
2001-04-01,0.8
2001-07-01,0.3
2001-10-01,0.9
2002-01-01,0.9
2002-04-01,0.7
2002-07-01,0.8
2002-10-01,0.6
2003-01-01,1.3
2003-04-01,-0.1
2003-07-01,0.6
2003-10-01,0.6
2004-01-01,0.8
2004-04-01,0.5
2004-07-01,0.4
2004-10-01,1.0
2005-01-01,0.5
2005-04-01,0.6
2005-07-01,1.0
2005-10-01,0.6
2006-01-01,0.8
2006-04-01,1.5
2006-07-01,0.8
2006-10-01,0.1
2007-01-01,0.0
2007-04-01,1.2
2007-07-01,0.6
2007-10-01,1.2
2008-01-01,1.2
2008-04-01,1.3
2008-07-01,1.1
2008-10-01,0.0
2009-01-01,-0.1
2009-04-01,0.5
2009-07-01,0.8
2009-10-01,0.9
2010-01-01,0.7
2010-04-01,0.6
2010-07-01,0.6
2010-10-01,0.6
2011-01-01,1.4
2011-04-01,0.9
2011-07-01,0.4
2011-10-01,0.2
2012-01-01,0.0
2012-04-01,0.6
2012-07-01,1.1
2012-10-01,0.4
2013-01-01,0.4
2013-04-01,0.5
2013-07-01,1.0
2013-10-01,0.8
2014-01-01,0.7
2014-04-01,0.7
2014-07-01,0.2
2014-10-01,0.2
2015-01-01,0.3
2015-04-01,0.8
2015-07-01,0.1
2015-10-01,0.5
2016-01-01,-0.1
2016-04-01,0.6
2016-07-01,0.5
2016-10-01,0.5
2017-01-01,0.6
2017-04-01,0.4
2017-07-01,0.4
2017-10-01,0.7
2018-01-01,0.5
2018-04-01,0.4
2018-07-01,0.3
2018-10-01,0.4
2019-01-01,0.1
2019-04-01,0.7
2019-07-01,0.4
2019-10-01,0.6
2020-01-01,0.5
2020-04-01,-1.9
2020-07-01,1.5
2020-10-01,0.8
2021-01-01,0.6
2021-04-01,0.8
2021-07-01,0.8
2021-10-01,1.4
2022-01-01,2.1
2022-04-01,1.9
2022-07-01,1.7
2022-10-01,1.9
2023-01-01,1.4
2023-04-01,0.8
2023-07-01,1.0
2023-10-01,0.7
2024-01-01,1.0
2024-04-01,0.9
2024-07-01,0.1
2024-10-01,0.3
2025-01-01,1.0
2025-04-01,0.7
2025-07-01,1.1
2025-10-01,0.8
2026-01-01,1.4
2026-04-01,0.6
2026-07-01,
2026-10-01,
