date,trimmed_mean_cpi_yoy
1995-01-01,2.2
1995-04-01,2.5
1995-07-01,2.9
1995-10-01,3.1
1996-01-01,3.2
1996-04-01,3.0
1996-07-01,2.5
1996-10-01,2.3
1997-01-01,2.4
1997-04-01,2.0
1997-07-01,1.7
1997-10-01,1.9
1998-01-01,1.7
1998-04-01,1.9
1998-07-01,2.0
1998-10-01,1.7
1999-01-01,1.7
1999-04-01,1.7
1999-07-01,2.2
1999-10-01,2.4
2000-01-01,2.6
2000-04-01,2.7
2000-07-01,2.4
2000-10-01,2.4
2001-01-01,2.7
2001-04-01,2.9
2001-07-01,3.1
2001-10-01,3.3
2002-01-01,3.1
2002-04-01,2.9
2002-07-01,2.9
2002-10-01,2.8
2003-01-01,2.9
2003-04-01,2.8
2003-07-01,2.8
2003-10-01,2.7
2004-01-01,2.6
2004-04-01,2.6
2004-07-01,2.6
2004-10-01,2.7
2005-01-01,2.7
2005-04-01,2.7
2005-07-01,2.7
2005-10-01,2.6
2006-01-01,2.8
2006-04-01,3.0
2006-07-01,3.1
2006-10-01,3.0
2007-01-01,2.7
2007-04-01,2.8
2007-07-01,2.9
2007-10-01,3.6
2008-01-01,4.2
2008-04-01,4.4
2008-07-01,4.8
2008-10-01,4.3
2009-01-01,4.1
2009-04-01,3.6
2009-07-01,3.1
2009-10-01,3.2
2010-01-01,3.1
2010-04-01,2.8
2010-07-01,2.6
2010-10-01,2.2
2011-01-01,2.2
2011-04-01,2.7
2011-07-01,2.5
2011-10-01,2.7
2012-01-01,2.3
2012-04-01,2.0
2012-07-01,2.3
2012-10-01,2.2
2013-01-01,2.3
2013-04-01,2.4
2013-07-01,2.4
2013-10-01,2.7
2014-01-01,2.7
2014-04-01,2.8
2014-07-01,2.4
2014-10-01,2.2
2015-01-01,2.3
2015-04-01,2.2
2015-07-01,2.1
2015-10-01,2.1
2016-01-01,1.7
2016-04-01,1.6
2016-07-01,1.6
2016-10-01,1.5
2017-01-01,1.7
2017-04-01,1.7
2017-07-01,1.7
2017-10-01,1.7
2018-01-01,1.7
2018-04-01,1.6
2018-07-01,1.7
2018-10-01,1.8
2019-01-01,1.6
2019-04-01,1.5
2019-07-01,1.5
2019-10-01,1.5
2020-01-01,1.7
2020-04-01,1.3
2020-07-01,1.2
2020-10-01,1.3
2021-01-01,1.1
2021-04-01,1.6
2021-07-01,2.1
2021-10-01,2.6
2022-01-01,3.8
2022-04-01,4.9
2022-07-01,6.0
2022-10-01,6.8
2023-01-01,6.5
2023-04-01,5.8
2023-07-01,5.1
2023-10-01,4.2
2024-01-01,4.0
2024-04-01,4.0
2024-07-01,3.6
2024-10-01,3.2
2025-01-01,2.9
2025-04-01,2.7
2025-07-01,2.9
2025-10-01,3.3
