date,unemployment_rate
1995-01-01,8.8553181
1995-02-01,8.8235605
1995-03-01,8.6174361
1995-04-01,8.2671591
1995-05-01,8.4750007
1995-06-01,8.3524099
1995-07-01,8.4282612
1995-08-01,8.3202871
1995-09-01,8.3633194
1995-10-01,8.5752182
1995-11-01,8.4524272
1995-12-01,8.1451401
1996-01-01,8.4517653
1996-02-01,8.3271964
1996-03-01,8.4213839
1996-04-01,8.5781631
1996-05-01,8.4146445
1996-06-01,8.254397
1996-07-01,8.5687451
1996-08-01,8.7223339
1996-09-01,8.5768268
1996-10-01,8.7596123
1996-11-01,8.4711258
1996-12-01,8.6310343
1997-01-01,8.5684254
1997-02-01,8.7031484
1997-03-01,8.5925994
1997-04-01,8.5683381
1997-05-01,8.5477868
1997-06-01,8.3312448
1997-07-01,8.5898994
1997-08-01,8.4653781
1997-09-01,8.0682576
1997-10-01,8.0333603
1997-11-01,7.9873875
1997-12-01,7.9108147
1998-01-01,7.8662873
1998-02-01,7.7728155
1998-03-01,7.8837656
1998-04-01,7.6038625
1998-05-01,7.7652223
1998-06-01,7.8324014
1998-07-01,7.975123
1998-08-01,7.7556302
1998-09-01,7.6341111
1998-10-01,7.3138607
1998-11-01,7.6264667
1998-12-01,7.1840789
1999-01-01,7.1189793
1999-02-01,7.1154571
1999-03-01,7.0129406
1999-04-01,6.9796875
1999-05-01,7.0252772
1999-06-01,6.6533679
1999-07-01,6.6756057
1999-08-01,6.9060442
1999-09-01,7.0415646
1999-10-01,6.7765748
1999-11-01,6.4405059
1999-12-01,6.6847937
2000-01-01,6.7669117
2000-02-01,6.6193063
2000-03-01,6.5652881
2000-04-01,6.3764984
2000-05-01,6.4146511
2000-06-01,6.1150608
2000-07-01,5.9543643
2000-08-01,6.0515929
2000-09-01,5.9632644
2000-10-01,6.0099854
2000-11-01,6.2621711
2000-12-01,6.2441713
2001-01-01,6.1377609
2001-02-01,6.5020497
2001-03-01,6.4589212
2001-04-01,6.7825224
2001-05-01,6.8931522
2001-06-01,6.932938
2001-07-01,6.8801871
2001-08-01,6.8811619
2001-09-01,6.841999
2001-10-01,7.1937157
2001-11-01,6.8831468
2001-12-01,6.8615828
2002-01-01,6.9157018
2002-02-01,6.5365326
2002-03-01,6.4304441
2002-04-01,6.3455892
2002-05-01,6.3726572
2002-06-01,6.4959306
2002-07-01,6.1799461
2002-08-01,6.3491655
2002-09-01,6.3123018
2002-10-01,6.128392
2002-11-01,6.1627626
2002-12-01,6.182296
2003-01-01,6.0824902
2003-02-01,5.9550295
2003-03-01,6.1313388
2003-04-01,6.0296227
2003-05-01,6.0692297
2003-06-01,6.0547822
2003-07-01,6.1281502
2003-08-01,5.817875
2003-09-01,5.7755637
2003-10-01,5.7835692
2003-11-01,5.661823
2003-12-01,5.6814638
2004-01-01,5.5315579
2004-02-01,5.6430643
2004-03-01,5.4375127
2004-04-01,5.5072005
2004-05-01,5.3369322
2004-06-01,5.4633091
2004-07-01,5.5507095
2004-08-01,5.5171473
2004-09-01,5.3706922
2004-10-01,5.122748
2004-11-01,5.1612552
2004-12-01,5.0686551
2005-01-01,5.0733613
2005-02-01,5.084222
2005-03-01,5.1627679
2005-04-01,5.1220077
2005-05-01,5.0995259
2005-06-01,4.950055
2005-07-01,4.9721662
2005-08-01,4.9013978
2005-09-01,5.0022442
2005-10-01,5.0157538
2005-11-01,4.9381821
2005-12-01,5.0699218
2006-01-01,5.1620929
2006-02-01,5.1035413
2006-03-01,4.8671288
2006-04-01,4.9656188
2006-05-01,4.7983153
2006-06-01,4.8081814
2006-07-01,4.6568806
2006-08-01,4.7121815
2006-09-01,4.6660355
2006-10-01,4.4632205
2006-11-01,4.5151131
2006-12-01,4.5681159
2007-01-01,4.5535199
2007-02-01,4.6344561
2007-03-01,4.4597394
2007-04-01,4.3861013
2007-05-01,4.2645998
2007-06-01,4.3241441
2007-07-01,4.2533692
2007-08-01,4.2989954
2007-09-01,4.2133353
2007-10-01,4.3262135
2007-11-01,4.426834
2007-12-01,4.308406
2008-01-01,4.2224858
2008-02-01,3.9790282
2008-03-01,4.0571539
2008-04-01,4.2656331
2008-05-01,4.2665194
2008-06-01,4.2435395
2008-07-01,4.2504297
2008-08-01,4.0153748
2008-09-01,4.289198
2008-10-01,4.2901364
2008-11-01,4.4629287
2008-12-01,4.570035
2009-01-01,4.9081554
2009-02-01,5.3025728
2009-03-01,5.7113439
2009-04-01,5.5133386
2009-05-01,5.8122361
2009-06-01,5.8615333
2009-07-01,5.6728749
2009-08-01,5.714836
2009-09-01,5.6619355
2009-10-01,5.6237069
2009-11-01,5.5586526
2009-12-01,5.4911632
2010-01-01,5.2661582
2010-02-01,5.2982033
2010-03-01,5.4226181
2010-04-01,5.4989345
2010-05-01,5.2297625
2010-06-01,5.1441225
2010-07-01,5.2882503
2010-08-01,5.0321839
2010-09-01,5.0543154
2010-10-01,5.284854
2010-11-01,5.1092064
2010-12-01,4.8769183
2011-01-01,5.0034282
