forecast_date,source,horizon_label,horizon_quarters,rba_forecast_cpi_yoy,rba_actual_cpi_yoy,rba_forecast_error_cpi_yoy
1995-03-01,JEFG,t-12,-12,,1.7,
1995-03-01,JEFG,t-11,-11,,1.2,
1995-03-01,JEFG,t-10,-10,,0.8,
1995-03-01,JEFG,t-9,-9,,0.3,
1995-03-01,JEFG,t-8,-8,,1.2,
1995-03-01,JEFG,t-7,-7,,1.9,
1995-03-01,JEFG,t-6,-6,,2.2,
1995-03-01,JEFG,t-5,-5,,1.9,
1995-03-01,JEFG,t-4,-4,,1.4,
1995-03-01,JEFG,t-3,-3,,1.7,
1995-03-01,JEFG,t-2,-2,,1.9,
1995-03-01,JEFG,t-1,-1,,2.5,
1995-03-01,JEFG,t,0,4.1,3.9,-0.19999999999999973
1995-03-01,JEFG,t+1,1,4.6,4.5,-0.09999999999999964
1995-03-01,JEFG,t+2,2,5.4,5.1,-0.3000000000000007
1995-03-01,JEFG,t+3,3,5.6,5.1,-0.5
1995-03-01,JEFG,t+4,4,4.6,3.7,-0.8999999999999995
1995-03-01,JEFG,t+5,5,4.5,3.1,-1.4
1995-03-01,JEFG,t+6,6,,2.1,
1995-03-01,JEFG,t+7,7,,1.5,
1995-03-01,JEFG,t+8,8,,1.3,
1995-03-01,JEFG,t+9,9,,0.3,
1995-03-01,JEFG,t+10,10,,-0.3,
1995-03-01,JEFG,t+11,11,,-0.2,
1995-06-01,JEFG,t-12,-12,,1.2,
1995-06-01,JEFG,t-11,-11,,0.8,
1995-06-01,JEFG,t-10,-10,,0.3,
1995-06-01,JEFG,t-9,-9,,1.2,
1995-06-01,JEFG,t-8,-8,,1.9,
1995-06-01,JEFG,t-7,-7,,2.2,
1995-06-01,JEFG,t-6,-6,,1.9,
1995-06-01,JEFG,t-5,-5,,1.4,
1995-06-01,JEFG,t-4,-4,,1.7,
1995-06-01,JEFG,t-3,-3,,1.9,
1995-06-01,JEFG,t-2,-2,,2.5,
1995-06-01,JEFG,t-1,-1,,3.9,
1995-06-01,JEFG,t,0,4.4,4.5,0.09999999999999964
1995-06-01,JEFG,t+1,1,5.1,5.1,0.0
1995-06-01,JEFG,t+2,2,5.1,5.1,0.0
1995-06-01,JEFG,t+3,3,4.3,3.7,-0.5999999999999996
1995-06-01,JEFG,t+4,4,4.1,3.1,-0.9999999999999996
1995-06-01,JEFG,t+5,5,3.9,2.1,-1.7999999999999998
1995-06-01,JEFG,t+6,6,3.9,1.5,-2.4
1995-06-01,JEFG,t+7,7,4.0,1.3,-2.7
1995-06-01,JEFG,t+8,8,3.9,0.3,-3.6
1995-06-01,JEFG,t+9,9,,-0.3,
1995-06-01,JEFG,t+10,10,,-0.2,
1995-06-01,JEFG,t+11,11,,-0.2,
1995-09-01,JEFG,t-12,-12,,0.8,
1995-09-01,JEFG,t-11,-11,,0.3,
1995-09-01,JEFG,t-10,-10,,1.2,
1995-09-01,JEFG,t-9,-9,,1.9,
1995-09-01,JEFG,t-8,-8,,2.2,
1995-09-01,JEFG,t-7,-7,,1.9,
1995-09-01,JEFG,t-6,-6,,1.4,
1995-09-01,JEFG,t-5,-5,,1.7,
1995-09-01,JEFG,t-4,-4,,1.9,
1995-09-01,JEFG,t-3,-3,,2.5,
1995-09-01,JEFG,t-2,-2,,3.9,
1995-09-01,JEFG,t-1,-1,,4.5,
1995-09-01,JEFG,t,0,5.2,5.1,-0.10000000000000053
1995-09-01,JEFG,t+1,1,5.4,5.1,-0.3000000000000007
1995-09-01,JEFG,t+2,2,4.6,3.7,-0.8999999999999995
1995-09-01,JEFG,t+3,3,4.1,3.1,-0.9999999999999996
1995-09-01,JEFG,t+4,4,4.0,2.1,-1.9
1995-09-01,JEFG,t+5,5,3.8,1.5,-2.3
1995-09-01,JEFG,t+6,6,3.7,1.3,-2.4000000000000004
1995-09-01,JEFG,t+7,7,3.9,0.3,-3.6
1995-09-01,JEFG,t+8,8,,-0.3,
1995-09-01,JEFG,t+9,9,,-0.2,
1995-09-01,JEFG,t+10,10,,-0.2,
1995-09-01,JEFG,t+11,11,,0.7,
1995-12-01,JEFG,t-12,-12,,0.3,
1995-12-01,JEFG,t-11,-11,,1.2,
1995-12-01,JEFG,t-10,-10,,1.9,
1995-12-01,JEFG,t-9,-9,,2.2,
1995-12-01,JEFG,t-8,-8,,1.9,
1995-12-01,JEFG,t-7,-7,,1.4,
1995-12-01,JEFG,t-6,-6,,1.7,
1995-12-01,JEFG,t-5,-5,,1.9,
1995-12-01,JEFG,t-4,-4,,2.5,
1995-12-01,JEFG,t-3,-3,,3.9,
1995-12-01,JEFG,t-2,-2,,4.5,
1995-12-01,JEFG,t-1,-1,,5.1,
1995-12-01,JEFG,t,0,4.8,5.1,0.2999999999999998
1995-12-01,JEFG,t+1,1,4.0,3.7,-0.2999999999999998
1995-12-01,JEFG,t+2,2,3.5,3.1,-0.3999999999999999
1995-12-01,JEFG,t+3,3,3.0,2.1,-0.8999999999999999
1995-12-01,JEFG,t+4,4,3.2,1.5,-1.7000000000000002
1995-12-01,JEFG,t+5,5,3.2,1.3,-1.9000000000000001
1995-12-01,JEFG,t+6,6,3.2,0.3,-2.9000000000000004
1995-12-01,JEFG,t+7,7,,-0.3,
1995-12-01,JEFG,t+8,8,,-0.2,
1995-12-01,JEFG,t+9,9,,-0.2,
1995-12-01,JEFG,t+10,10,,0.7,
1995-12-01,JEFG,t+11,11,,1.3,
1996-03-01,JEFG,t-12,-12,,1.2,
1996-03-01,JEFG,t-11,-11,,1.9,
1996-03-01,JEFG,t-10,-10,,2.2,
1996-03-01,JEFG,t-9,-9,,1.9,
1996-03-01,JEFG,t-8,-8,,1.4,
1996-03-01,JEFG,t-7,-7,,1.7,
1996-03-01,JEFG,t-6,-6,,1.9,
1996-03-01,JEFG,t-5,-5,,2.5,
1996-03-01,JEFG,t-4,-4,,3.9,
1996-03-01,JEFG,t-3,-3,,4.5,
1996-03-01,JEFG,t-2,-2,,5.1,
1996-03-01,JEFG,t-1,-1,,5.1,
1996-03-01,JEFG,t,0,4.0,3.7,-0.2999999999999998
1996-03-01,JEFG,t+1,1,3.4,3.1,-0.2999999999999998
1996-03-01,JEFG,t+2,2,2.9,2.1,-0.7999999999999998
1996-03-01,JEFG,t+3,3,2.8,1.5,-1.2999999999999998
1996-03-01,JEFG,t+4,4,2.9,1.3,-1.5999999999999999
1996-03-01,JEFG,t+5,5,2.9,0.3,-2.6
1996-03-01,JEFG,t+6,6,,-0.3,
1996-03-01,JEFG,t+7,7,,-0.2,
1996-03-01,JEFG,t+8,8,,-0.2,
1996-03-01,JEFG,t+9,9,,0.7,
1996-03-01,JEFG,t+10,10,,1.3,
1996-03-01,JEFG,t+11,11,,1.6,
1996-06-01,JEFG,t-12,-12,,1.9,
1996-06-01,JEFG,t-11,-11,,2.2,
1996-06-01,JEFG,t-10,-10,,1.9,
1996-06-01,JEFG,t-9,-9,,1.4,
1996-06-01,JEFG,t-8,-8,,1.7,
1996-06-01,JEFG,t-7,-7,,1.9,
1996-06-01,JEFG,t-6,-6,,2.5,
1996-06-01,JEFG,t-5,-5,,3.9,
1996-06-01,JEFG,t-4,-4,,4.5,
1996-06-01,JEFG,t-3,-3,,5.1,
1996-06-01,JEFG,t-2,-2,,5.1,
1996-06-01,JEFG,t-1,-1,,3.7,
1996-06-01,JEFG,t,0,3.2,3.1,-0.10000000000000009
1996-06-01,JEFG,t+1,1,2.3,2.1,-0.19999999999999973
1996-06-01,JEFG,t+2,2,2.1,1.5,-0.6000000000000001
1996-06-01,JEFG,t+3,3,2.4,1.3,-1.0999999999999999
1996-06-01,JEFG,t+4,4,2.3,0.3,-1.9999999999999998
1996-06-01,JEFG,t+5,5,2.6,-0.3,-2.9
1996-06-01,JEFG,t+6,6,2.8,-0.2,-3.0
1996-06-01,JEFG,t+7,7,2.8,-0.2,-3.0
1996-06-01,JEFG,t+8,8,3.0,0.7,-2.3
1996-06-01,JEFG,t+9,9,,1.3,
1996-06-01,JEFG,t+10,10,,1.6,
1996-06-01,JEFG,t+11,11,,1.2,
1996-09-01,JEFG,t-12,-12,,2.2,
1996-09-01,JEFG,t-11,-11,,1.9,
1996-09-01,JEFG,t-10,-10,,1.4,
1996-09-01,JEFG,t-9,-9,,1.7,
1996-09-01,JEFG,t-8,-8,,1.9,
1996-09-01,JEFG,t-7,-7,,2.5,
1996-09-01,JEFG,t-6,-6,,3.9,
1996-09-01,JEFG,t-5,-5,,4.5,
1996-09-01,JEFG,t-4,-4,,5.1,
1996-09-01,JEFG,t-3,-3,,5.1,
1996-09-01,JEFG,t-2,-2,,3.7,
1996-09-01,JEFG,t-1,-1,,3.1,
1996-09-01,JEFG,t,0,2.3,2.1,-0.19999999999999973
1996-09-01,JEFG,t+1,1,1.6,1.5,-0.10000000000000009
1996-09-01,JEFG,t+2,2,1.6,1.3,-0.30000000000000004
1996-09-01,JEFG,t+3,3,1.6,0.3,-1.3
1996-09-01,JEFG,t+4,4,1.8,-0.3,-2.1
1996-09-01,JEFG,t+5,5,2.5,-0.2,-2.7
1996-09-01,JEFG,t+6,6,2.8,-0.2,-3.0
1996-09-01,JEFG,t+7,7,2.9,0.7,-2.2
1996-09-01,JEFG,t+8,8,,1.3,
1996-09-01,JEFG,t+9,9,,1.6,
1996-09-01,JEFG,t+10,10,,1.2,
1996-09-01,JEFG,t+11,11,,1.1,
1996-12-01,JEFG,t-12,-12,,1.9,
1996-12-01,JEFG,t-11,-11,,1.4,
1996-12-01,JEFG,t-10,-10,,1.7,
1996-12-01,JEFG,t-9,-9,,1.9,
1996-12-01,JEFG,t-8,-8,,2.5,
1996-12-01,JEFG,t-7,-7,,3.9,
1996-12-01,JEFG,t-6,-6,,4.5,
1996-12-01,JEFG,t-5,-5,,5.1,
1996-12-01,JEFG,t-4,-4,,5.1,
1996-12-01,JEFG,t-3,-3,,3.7,
1996-12-01,JEFG,t-2,-2,,3.1,
1996-12-01,JEFG,t-1,-1,,2.1,
1996-12-01,JEFG,t,0,1.8,1.5,-0.30000000000000004
1996-12-01,JEFG,t+1,1,1.6,1.3,-0.30000000000000004
1996-12-01,JEFG,t+2,2,1.0,0.3,-0.7
1996-12-01,JEFG,t+3,3,1.4,-0.3,-1.7
1996-12-01,JEFG,t+4,4,1.9,-0.2,-2.1
1996-12-01,JEFG,t+5,5,2.4,-0.2,-2.6
1996-12-01,JEFG,t+6,6,2.6,0.7,-1.9000000000000001
1996-12-01,JEFG,t+7,7,,1.3,
1996-12-01,JEFG,t+8,8,,1.6,
1996-12-01,JEFG,t+9,9,,1.2,
1996-12-01,JEFG,t+10,10,,1.1,
1996-12-01,JEFG,t+11,11,,1.7,
1997-03-01,JEFG,t-12,-12,,1.4,
1997-03-01,JEFG,t-11,-11,,1.7,
1997-03-01,JEFG,t-10,-10,,1.9,
1997-03-01,JEFG,t-9,-9,,2.5,
1997-03-01,JEFG,t-8,-8,,3.9,
1997-03-01,JEFG,t-7,-7,,4.5,
1997-03-01,JEFG,t-6,-6,,5.1,
1997-03-01,JEFG,t-5,-5,,5.1,
1997-03-01,JEFG,t-4,-4,,3.7,
1997-03-01,JEFG,t-3,-3,,3.1,
1997-03-01,JEFG,t-2,-2,,2.1,
1997-03-01,JEFG,t-1,-1,2.2,1.5,
1997-03-01,JEFG,t,0,1.3,1.3,0.0
1997-03-01,JEFG,t+1,1,0.5,0.3,-0.2
1997-03-01,JEFG,t+2,2,0.5,-0.3,-0.8
1997-03-01,JEFG,t+3,3,1.0,-0.2,-1.2
1997-03-01,JEFG,t+4,4,1.7,-0.2,-1.9
1997-03-01,JEFG,t+5,5,2.5,0.7,-1.8
1997-03-01,JEFG,t+6,6,,1.3,
1997-03-01,JEFG,t+7,7,,1.6,
1997-03-01,JEFG,t+8,8,,1.2,
1997-03-01,JEFG,t+9,9,,1.1,
1997-03-01,JEFG,t+10,10,,1.7,
1997-03-01,JEFG,t+11,11,,1.8,
1997-06-01,JEFG,t-12,-12,,1.7,
1997-06-01,JEFG,t-11,-11,,1.9,
1997-06-01,JEFG,t-10,-10,,2.5,
1997-06-01,JEFG,t-9,-9,,3.9,
1997-06-01,JEFG,t-8,-8,,4.5,
1997-06-01,JEFG,t-7,-7,,5.1,
1997-06-01,JEFG,t-6,-6,,5.1,
1997-06-01,JEFG,t-5,-5,,3.7,
1997-06-01,JEFG,t-4,-4,,3.1,
1997-06-01,JEFG,t-3,-3,,2.1,
1997-06-01,JEFG,t-2,-2,,1.5,
1997-06-01,JEFG,t-1,-1,,1.3,
1997-06-01,JEFG,t,0,0.2,0.3,0.09999999999999998
1997-06-01,JEFG,t+1,1,-0.1,-0.3,-0.19999999999999998
1997-06-01,JEFG,t+2,2,0.1,-0.2,-0.30000000000000004
1997-06-01,JEFG,t+3,3,0.5,-0.2,-0.7
1997-06-01,JEFG,t+4,4,1.4,0.7,-0.7
1997-06-01,JEFG,t+5,5,1.8,1.3,-0.5
