model,horizon,n,rmse,mae
rba,overall,650,1.483292,0.983077
rba,1,85,0.668801,0.482353
rba,2,85,0.993804,0.688235
rba,3,85,1.330015,0.903529
rba,4,85,1.553327,1.067059
rba,5,85,1.658064,1.152941
rba,6,84,1.716828,1.184524
rba,7,75,1.794547,1.214667
rba,8,66,1.866288,1.263636
sarima,overall,650,1.838571,1.146884
sarima,1,85,0.68509,0.445
sarima,2,85,1.041578,0.740797
sarima,3,85,1.969898,1.113962
sarima,4,85,2.047492,1.32932
sarima,5,85,2.392517,1.429722
sarima,6,84,2.222009,1.417852
sarima,7,75,1.803375,1.352797
sarima,8,66,1.881864,1.438135
seasonal_naive,overall,650,1.92313,1.367692
seasonal_naive,1,85,1.644456,1.204706
seasonal_naive,2,85,1.661112,1.225882
seasonal_naive,3,85,1.681246,1.251765
seasonal_naive,4,85,1.68795,1.261176
seasonal_naive,5,85,2.054207,1.416471
seasonal_naive,6,84,2.101332,1.453571
seasonal_naive,7,75,2.209947,1.548
seasonal_naive,8,66,2.33958,1.669697
