horizon,feature,coef,intercept,selected_alpha,selected_l1_ratio
1,cpi_yoy_lag1,0.256226,2.780808,0.16681,0.7
1,cpi_yoy_lag4,-0.0,2.780808,0.16681,0.7
1,cash_rate_change_lag1,0.122582,2.780808,0.16681,0.7
1,unemployment_rate_change_lag1,-0.003648,2.780808,0.16681,0.7
1,inflation_expectations_business_lag1,0.687255,2.780808,0.16681,0.7
1,ppi_growth_lag2,0.0,2.780808,0.16681,0.7
1,commodity_growth_lag1,0.0,2.780808,0.16681,0.7
1,wti_growth_lag1,0.079576,2.780808,0.16681,0.7
1,ppi_growth_lag2_sq,0.0,2.780808,0.16681,0.7
1,wti_growth_lag1_sq,-0.0,2.780808,0.16681,0.7
1,cash_rate_change_lag1_x_unemployment_rate_change_lag1,-0.0,2.780808,0.16681,0.7
2,cpi_yoy_lag1,0.039406,2.746939,0.16681,0.7
2,cpi_yoy_lag4,0.0,2.746939,0.16681,0.7
2,cash_rate_change_lag1,0.010033,2.746939,0.16681,0.7
2,unemployment_rate_change_lag1,-0.094631,2.746939,0.16681,0.7
2,inflation_expectations_business_lag1,0.64877,2.746939,0.16681,0.7
2,ppi_growth_lag2,0.0,2.746939,0.16681,0.7
2,commodity_growth_lag1,0.0,2.746939,0.16681,0.7
2,wti_growth_lag1,0.262719,2.746939,0.16681,0.7
2,ppi_growth_lag2_sq,0.001327,2.746939,0.16681,0.7
2,wti_growth_lag1_sq,0.0,2.746939,0.16681,0.7
2,cash_rate_change_lag1_x_unemployment_rate_change_lag1,-0.046816,2.746939,0.16681,0.7
3,cpi_yoy_lag1,0.0,2.749485,0.464159,0.9
3,cpi_yoy_lag4,0.0,2.749485,0.464159,0.9
3,cash_rate_change_lag1,0.0,2.749485,0.464159,0.9
3,unemployment_rate_change_lag1,-0.0,2.749485,0.464159,0.9
3,inflation_expectations_business_lag1,0.252795,2.749485,0.464159,0.9
3,ppi_growth_lag2,0.0,2.749485,0.464159,0.9
3,commodity_growth_lag1,0.0,2.749485,0.464159,0.9
3,wti_growth_lag1,0.0,2.749485,0.464159,0.9
3,ppi_growth_lag2_sq,0.0,2.749485,0.464159,0.9
3,wti_growth_lag1_sq,0.0,2.749485,0.464159,0.9
3,cash_rate_change_lag1_x_unemployment_rate_change_lag1,-0.0,2.749485,0.464159,0.9
4,cpi_yoy_lag1,0.0,2.745833,0.464159,0.9
4,cpi_yoy_lag4,0.0,2.745833,0.464159,0.9
4,cash_rate_change_lag1,0.0,2.745833,0.464159,0.9
4,unemployment_rate_change_lag1,-0.0,2.745833,0.464159,0.9
4,inflation_expectations_business_lag1,0.125043,2.745833,0.464159,0.9
4,ppi_growth_lag2,0.0,2.745833,0.464159,0.9
4,commodity_growth_lag1,0.0,2.745833,0.464159,0.9
4,wti_growth_lag1,0.0,2.745833,0.464159,0.9
4,ppi_growth_lag2_sq,0.0,2.745833,0.464159,0.9
4,wti_growth_lag1_sq,0.0,2.745833,0.464159,0.9
4,cash_rate_change_lag1_x_unemployment_rate_change_lag1,0.0,2.745833,0.464159,0.9
5,cpi_yoy_lag1,0.0,2.743158,0.464159,0.9
5,cpi_yoy_lag4,0.0,2.743158,0.464159,0.9
5,cash_rate_change_lag1,0.0,2.743158,0.464159,0.9
5,unemployment_rate_change_lag1,0.0,2.743158,0.464159,0.9
5,inflation_expectations_business_lag1,0.0,2.743158,0.464159,0.9
5,ppi_growth_lag2,0.0,2.743158,0.464159,0.9
5,commodity_growth_lag1,0.0,2.743158,0.464159,0.9
5,wti_growth_lag1,0.0,2.743158,0.464159,0.9
5,ppi_growth_lag2_sq,0.0,2.743158,0.464159,0.9
5,wti_growth_lag1_sq,0.0,2.743158,0.464159,0.9
5,cash_rate_change_lag1_x_unemployment_rate_change_lag1,0.0,2.743158,0.464159,0.9
6,cpi_yoy_lag1,0.0,2.742553,0.464159,0.7
6,cpi_yoy_lag4,0.0,2.742553,0.464159,0.7
6,cash_rate_change_lag1,0.0,2.742553,0.464159,0.7
6,unemployment_rate_change_lag1,-0.0,2.742553,0.464159,0.7
6,inflation_expectations_business_lag1,0.0,2.742553,0.464159,0.7
6,ppi_growth_lag2,0.0,2.742553,0.464159,0.7
6,commodity_growth_lag1,0.0,2.742553,0.464159,0.7
6,wti_growth_lag1,0.0,2.742553,0.464159,0.7
6,ppi_growth_lag2_sq,0.0,2.742553,0.464159,0.7
6,wti_growth_lag1_sq,0.034558,2.742553,0.464159,0.7
6,cash_rate_change_lag1_x_unemployment_rate_change_lag1,0.0,2.742553,0.464159,0.7
7,cpi_yoy_lag1,0.0,2.736559,0.464159,0.7
7,cpi_yoy_lag4,-0.0,2.736559,0.464159,0.7
7,cash_rate_change_lag1,-0.0,2.736559,0.464159,0.7
7,unemployment_rate_change_lag1,-0.0,2.736559,0.464159,0.7
7,inflation_expectations_business_lag1,0.0,2.736559,0.464159,0.7
7,ppi_growth_lag2,0.0,2.736559,0.464159,0.7
7,commodity_growth_lag1,0.0,2.736559,0.464159,0.7
7,wti_growth_lag1,0.0,2.736559,0.464159,0.7
7,ppi_growth_lag2_sq,0.0,2.736559,0.464159,0.7
7,wti_growth_lag1_sq,0.130964,2.736559,0.464159,0.7
7,cash_rate_change_lag1_x_unemployment_rate_change_lag1,-0.0,2.736559,0.464159,0.7
8,cpi_yoy_lag1,-0.0,2.732609,0.464159,0.7
8,cpi_yoy_lag4,-0.0,2.732609,0.464159,0.7
8,cash_rate_change_lag1,-0.0,2.732609,0.464159,0.7
8,unemployment_rate_change_lag1,0.0,2.732609,0.464159,0.7
8,inflation_expectations_business_lag1,0.0,2.732609,0.464159,0.7
8,ppi_growth_lag2,0.0,2.732609,0.464159,0.7
8,commodity_growth_lag1,0.0,2.732609,0.464159,0.7
8,wti_growth_lag1,0.0,2.732609,0.464159,0.7
8,ppi_growth_lag2_sq,0.0,2.732609,0.464159,0.7
8,wti_growth_lag1_sq,0.203963,2.732609,0.464159,0.7
8,cash_rate_change_lag1_x_unemployment_rate_change_lag1,-0.0,2.732609,0.464159,0.7
