model,horizon,n,rmse,mae
elastic_net,overall,424,1.703591,1.245945
elastic_net,1,53,1.069364,0.835159
elastic_net,2,53,1.43165,1.083189
elastic_net,3,53,1.753513,1.280886
elastic_net,4,53,1.823985,1.348634
elastic_net,5,53,1.81876,1.352991
elastic_net,6,53,1.881351,1.375593
elastic_net,7,53,1.838436,1.345487
elastic_net,8,53,1.842732,1.345625
ensemble,overall,424,1.697247,1.120515
ensemble,1,53,0.74183,0.51078
ensemble,2,53,1.223591,0.840865
ensemble,3,53,1.630174,1.085743
ensemble,4,53,1.895346,1.288393
ensemble,5,53,1.912155,1.307924
ensemble,6,53,1.942172,1.317468
ensemble,7,53,1.910925,1.301622
ensemble,8,53,1.915173,1.311325
rba,overall,424,1.699033,1.122113
rba,1,53,0.731989,0.523433
rba,2,53,1.105433,0.757158
rba,3,53,1.525555,1.051837
rba,4,53,1.781745,1.202782
rba,5,53,1.928232,1.326719
rba,6,53,2.006505,1.381841
rba,7,53,2.017094,1.370132
rba,8,53,2.005284,1.363005
sarima,overall,424,1.765204,1.067018
sarima,1,53,0.650947,0.430048
sarima,2,53,1.139574,0.756915
sarima,3,53,1.584289,0.997951
sarima,4,53,2.011278,1.237729
sarima,5,53,2.054556,1.275899
sarima,6,53,2.042746,1.273857
sarima,7,53,2.028975,1.272676
sarima,8,53,2.03451,1.291071
seasonal_naive,overall,424,2.149568,1.497038
seasonal_naive,1,53,1.71349,1.220592
seasonal_naive,2,53,1.739642,1.255721
seasonal_naive,3,53,1.770446,1.29138
seasonal_naive,4,53,1.782332,1.309682
seasonal_naive,5,53,2.444346,1.688413
seasonal_naive,6,53,2.496338,1.736933
seasonal_naive,7,53,2.499612,1.741053
seasonal_naive,8,53,2.497391,1.732526
