model,horizon,n,rmse,mae
elastic_net,overall,440,1.406506,0.974175
elastic_net,1,55,0.636572,0.429444
elastic_net,2,55,0.96711,0.653853
elastic_net,3,55,1.223748,0.882268
elastic_net,4,55,1.394787,0.947954
elastic_net,5,55,1.60308,1.119712
elastic_net,6,55,1.721105,1.232548
elastic_net,7,55,1.745975,1.291574
elastic_net,8,55,1.569092,1.236046
ensemble,overall,440,1.251526,0.786603
ensemble,1,55,0.346951,0.233118
ensemble,2,55,0.65925,0.429898
ensemble,3,55,0.96655,0.632823
ensemble,4,55,1.238372,0.798042
ensemble,5,55,1.423027,0.928789
ensemble,6,55,1.554771,1.028024
ensemble,7,55,1.618837,1.108377
ensemble,8,55,1.563589,1.133757
sarima,overall,440,1.281378,0.76909
sarima,1,55,0.273528,0.197644
sarima,2,55,0.564203,0.382072
sarima,3,55,0.893147,0.577626
sarima,4,55,1.234885,0.793487
sarima,5,55,1.439425,0.928213
sarima,6,55,1.571963,1.025243
sarima,7,55,1.672614,1.092144
sarima,8,55,1.754709,1.156288
seasonal_naive,overall,440,1.57726,0.940227
seasonal_naive,1,55,1.254881,0.750909
seasonal_naive,2,55,1.256257,0.752727
seasonal_naive,3,55,1.264911,0.770909
seasonal_naive,4,55,1.276928,0.792727
seasonal_naive,5,55,1.838626,1.114545
seasonal_naive,6,55,1.839466,1.116364
seasonal_naive,7,55,1.837538,1.110909
seasonal_naive,8,55,1.837884,1.112727
