variable,test,observations,statistic,p_value,lags,stationary_at_5pct,notes
cpi_yoy,ADF,124,-3.05765,0.02985,9,True,rejects unit root when p < 0.05
cpi_yoy,KPSS,124,0.095003,0.1,6,True,fails to reject stationarity when p >= 0.05
cpi_qoq,ADF,124,-5.631464,1e-06,1,True,rejects unit root when p < 0.05
cpi_qoq,KPSS,124,0.101674,0.1,4,True,fails to reject stationarity when p >= 0.05
trimmed_mean_cpi_yoy,ADF,124,-2.247203,0.189561,9,False,rejects unit root when p < 0.05
trimmed_mean_cpi_yoy,KPSS,124,0.128159,0.1,6,True,fails to reject stationarity when p >= 0.05
trimmed_mean_cpi_qoq,ADF,124,-3.14018,0.023719,1,True,rejects unit root when p < 0.05
trimmed_mean_cpi_qoq,KPSS,124,0.142397,0.1,5,True,fails to reject stationarity when p >= 0.05
unemployment_rate,ADF,124,-2.035435,0.271255,1,False,rejects unit root when p < 0.05
unemployment_rate,KPSS,124,1.030244,0.01,6,False,fails to reject stationarity when p >= 0.05
cash_rate,ADF,124,-2.255838,0.186607,2,False,rejects unit root when p < 0.05
cash_rate,KPSS,124,1.246599,0.01,6,False,fails to reject stationarity when p >= 0.05
wpi_growth,ADF,113,-1.788705,0.386084,8,False,rejects unit root when p < 0.05
wpi_growth,KPSS,113,0.617915,0.021008,4,False,fails to reject stationarity when p >= 0.05
ppi_growth,ADF,109,-4.906026,3.4e-05,1,True,rejects unit root when p < 0.05
ppi_growth,KPSS,109,0.148952,0.1,4,True,fails to reject stationarity when p >= 0.05
commodity_growth,ADF,123,-6.25069,0.0,3,True,rejects unit root when p < 0.05
commodity_growth,KPSS,123,0.04349,0.1,3,True,fails to reject stationarity when p >= 0.05
wti_growth,ADF,101,-8.936926,0.0,0,True,rejects unit root when p < 0.05
wti_growth,KPSS,101,0.094615,0.1,0,True,fails to reject stationarity when p >= 0.05
brent_growth,ADF,73,-7.171776,0.0,0,True,rejects unit root when p < 0.05
brent_growth,KPSS,73,0.077266,0.1,0,True,fails to reject stationarity when p >= 0.05
aud_usd_change,ADF,63,-7.029493,0.0,0,True,rejects unit root when p < 0.05
aud_usd_change,KPSS,63,0.081308,0.1,2,True,fails to reject stationarity when p >= 0.05
household_spending_growth,ADF,53,-7.646742,0.0,0,True,rejects unit root when p < 0.05
household_spending_growth,KPSS,53,0.137148,0.1,0,True,fails to reject stationarity when p >= 0.05
inflation_expectations_business,ADF,124,-3.828202,0.002632,4,True,rejects unit root when p < 0.05
inflation_expectations_business,KPSS,124,0.202372,0.1,5,True,fails to reject stationarity when p >= 0.05
