horizon,feature,coef,intercept,selected_alpha,selected_l1_ratio
1,cpi_yoy_lag1,0.286601,2.780923,0.16681,0.5
1,cpi_yoy_lag4,-0.0,2.780923,0.16681,0.5
1,cash_rate_change_lag1,0.138217,2.780923,0.16681,0.5
1,unemployment_rate_change_lag1,-0.005723,2.780923,0.16681,0.5
1,inflation_expectations_business_lag1,0.656345,2.780923,0.16681,0.5
1,ppi_growth_lag2,0.0,2.780923,0.16681,0.5
1,commodity_growth_lag1,0.02515,2.780923,0.16681,0.5
1,wti_growth_lag1,0.112694,2.780923,0.16681,0.5
2,cpi_yoy_lag1,0.17015,2.747368,0.16681,0.1
2,cpi_yoy_lag4,0.003361,2.747368,0.16681,0.1
2,cash_rate_change_lag1,0.054947,2.747368,0.16681,0.1
2,unemployment_rate_change_lag1,-0.114856,2.747368,0.16681,0.1
2,inflation_expectations_business_lag1,0.552998,2.747368,0.16681,0.1
2,ppi_growth_lag2,0.0,2.747368,0.16681,0.1
2,commodity_growth_lag1,0.0,2.747368,0.16681,0.1
2,wti_growth_lag1,0.304044,2.747368,0.16681,0.1
3,cpi_yoy_lag1,0.0,2.749608,0.464159,0.9
3,cpi_yoy_lag4,0.0,2.749608,0.464159,0.9
3,cash_rate_change_lag1,0.0,2.749608,0.464159,0.9
3,unemployment_rate_change_lag1,-0.0,2.749608,0.464159,0.9
3,inflation_expectations_business_lag1,0.248613,2.749608,0.464159,0.9
3,ppi_growth_lag2,0.0,2.749608,0.464159,0.9
3,commodity_growth_lag1,0.0,2.749608,0.464159,0.9
3,wti_growth_lag1,0.0,2.749608,0.464159,0.9
4,cpi_yoy_lag1,0.0,2.74562,0.464159,0.9
4,cpi_yoy_lag4,0.0,2.74562,0.464159,0.9
4,cash_rate_change_lag1,0.0,2.74562,0.464159,0.9
4,unemployment_rate_change_lag1,-0.0,2.74562,0.464159,0.9
4,inflation_expectations_business_lag1,0.123501,2.74562,0.464159,0.9
4,ppi_growth_lag2,0.0,2.74562,0.464159,0.9
4,commodity_growth_lag1,0.0,2.74562,0.464159,0.9
4,wti_growth_lag1,0.0,2.74562,0.464159,0.9
5,cpi_yoy_lag1,0.0,2.743333,0.464159,0.7
5,cpi_yoy_lag4,-0.0,2.743333,0.464159,0.7
5,cash_rate_change_lag1,0.0,2.743333,0.464159,0.7
5,unemployment_rate_change_lag1,-0.075841,2.743333,0.464159,0.7
5,inflation_expectations_business_lag1,0.053923,2.743333,0.464159,0.7
5,ppi_growth_lag2,0.0,2.743333,0.464159,0.7
5,commodity_growth_lag1,0.0,2.743333,0.464159,0.7
5,wti_growth_lag1,0.0,2.743333,0.464159,0.7
6,cpi_yoy_lag1,0.0,2.742286,0.464159,0.9
6,cpi_yoy_lag4,0.0,2.742286,0.464159,0.9
6,cash_rate_change_lag1,0.0,2.742286,0.464159,0.9
6,unemployment_rate_change_lag1,0.0,2.742286,0.464159,0.9
6,inflation_expectations_business_lag1,0.0,2.742286,0.464159,0.9
6,ppi_growth_lag2,0.0,2.742286,0.464159,0.9
6,commodity_growth_lag1,0.0,2.742286,0.464159,0.9
6,wti_growth_lag1,0.0,2.742286,0.464159,0.9
7,cpi_yoy_lag1,0.0,2.73674,0.464159,0.7
7,cpi_yoy_lag4,0.0,2.73674,0.464159,0.7
7,cash_rate_change_lag1,0.0,2.73674,0.464159,0.7
7,unemployment_rate_change_lag1,0.0,2.73674,0.464159,0.7
7,inflation_expectations_business_lag1,0.0,2.73674,0.464159,0.7
7,ppi_growth_lag2,0.0,2.73674,0.464159,0.7
7,commodity_growth_lag1,0.0,2.73674,0.464159,0.7
7,wti_growth_lag1,0.0,2.73674,0.464159,0.7
8,cpi_yoy_lag1,0.0,2.733888,0.464159,0.7
8,cpi_yoy_lag4,0.0,2.733888,0.464159,0.7
8,cash_rate_change_lag1,0.0,2.733888,0.464159,0.7
8,unemployment_rate_change_lag1,0.0,2.733888,0.464159,0.7
8,inflation_expectations_business_lag1,0.0,2.733888,0.464159,0.7
8,ppi_growth_lag2,0.0,2.733888,0.464159,0.7
8,commodity_growth_lag1,0.0,2.733888,0.464159,0.7
8,wti_growth_lag1,0.0,2.733888,0.464159,0.7
