horizon,feature,coef,intercept,selected_alpha,selected_l1_ratio
1,trimmed_mean_cpi_yoy_lag1,1.127875,2.786869,0.021544,1.0
1,trimmed_mean_cpi_yoy_lag4,-0.2784,2.786869,0.021544,1.0
1,commodity_growth_lag1,0.089383,2.786869,0.021544,1.0
1,wti_growth_lag1,0.143777,2.786869,0.021544,1.0
1,commodity_growth_lag1_sq,-0.016005,2.786869,0.021544,1.0
1,wti_growth_lag1_sq,-0.0,2.786869,0.021544,1.0
1,cash_rate_change_lag1_x_unemployment_rate_change_lag1,-8.5e-05,2.786869,0.021544,1.0
2,trimmed_mean_cpi_yoy_lag1,0.916125,2.785714,0.059948,0.7
2,trimmed_mean_cpi_yoy_lag4,-0.237,2.785714,0.059948,0.7
2,commodity_growth_lag1,0.115743,2.785714,0.059948,0.7
2,wti_growth_lag1,0.209903,2.785714,0.059948,0.7
2,commodity_growth_lag1_sq,-0.0,2.785714,0.059948,0.7
2,wti_growth_lag1_sq,-0.0,2.785714,0.059948,0.7
2,cash_rate_change_lag1_x_unemployment_rate_change_lag1,-0.002681,2.785714,0.059948,0.7
3,trimmed_mean_cpi_yoy_lag1,0.740822,2.782474,0.059948,0.95
3,trimmed_mean_cpi_yoy_lag4,-0.231166,2.782474,0.059948,0.95
3,commodity_growth_lag1,0.116766,2.782474,0.059948,0.95
3,wti_growth_lag1,0.195667,2.782474,0.059948,0.95
3,commodity_growth_lag1_sq,0.0,2.782474,0.059948,0.95
3,wti_growth_lag1_sq,0.0,2.782474,0.059948,0.95
3,cash_rate_change_lag1_x_unemployment_rate_change_lag1,-0.0,2.782474,0.059948,0.95
4,trimmed_mean_cpi_yoy_lag1,0.349331,2.777083,0.16681,0.7
4,trimmed_mean_cpi_yoy_lag4,-0.004779,2.777083,0.16681,0.7
4,commodity_growth_lag1,0.11011,2.777083,0.16681,0.7
4,wti_growth_lag1,0.120694,2.777083,0.16681,0.7
4,commodity_growth_lag1_sq,0.0,2.777083,0.16681,0.7
4,wti_growth_lag1_sq,0.0,2.777083,0.16681,0.7
4,cash_rate_change_lag1_x_unemployment_rate_change_lag1,-0.0,2.777083,0.16681,0.7
5,trimmed_mean_cpi_yoy_lag1,0.0,2.773684,0.464159,0.7
5,trimmed_mean_cpi_yoy_lag4,0.0,2.773684,0.464159,0.7
5,commodity_growth_lag1,0.0,2.773684,0.464159,0.7
5,wti_growth_lag1,0.0,2.773684,0.464159,0.7
5,commodity_growth_lag1_sq,0.0,2.773684,0.464159,0.7
5,wti_growth_lag1_sq,0.0,2.773684,0.464159,0.7
5,cash_rate_change_lag1_x_unemployment_rate_change_lag1,0.0,2.773684,0.464159,0.7
6,trimmed_mean_cpi_yoy_lag1,0.0,2.77234,0.464159,0.95
6,trimmed_mean_cpi_yoy_lag4,0.0,2.77234,0.464159,0.95
6,commodity_growth_lag1,0.0,2.77234,0.464159,0.95
6,wti_growth_lag1,0.0,2.77234,0.464159,0.95
6,commodity_growth_lag1_sq,0.0,2.77234,0.464159,0.95
6,wti_growth_lag1_sq,0.0,2.77234,0.464159,0.95
6,cash_rate_change_lag1_x_unemployment_rate_change_lag1,0.0,2.77234,0.464159,0.95
7,trimmed_mean_cpi_yoy_lag1,0.0,2.770968,0.464159,0.9
7,trimmed_mean_cpi_yoy_lag4,0.0,2.770968,0.464159,0.9
7,commodity_growth_lag1,0.0,2.770968,0.464159,0.9
7,wti_growth_lag1,0.0,2.770968,0.464159,0.9
7,commodity_growth_lag1_sq,0.0,2.770968,0.464159,0.9
7,wti_growth_lag1_sq,0.0,2.770968,0.464159,0.9
7,cash_rate_change_lag1_x_unemployment_rate_change_lag1,0.0,2.770968,0.464159,0.9
8,trimmed_mean_cpi_yoy_lag1,0.0,2.770652,0.464159,0.9
8,trimmed_mean_cpi_yoy_lag4,0.0,2.770652,0.464159,0.9
8,commodity_growth_lag1,0.0,2.770652,0.464159,0.9
8,wti_growth_lag1,0.0,2.770652,0.464159,0.9
8,commodity_growth_lag1_sq,0.0,2.770652,0.464159,0.9
8,wti_growth_lag1_sq,0.0,2.770652,0.464159,0.9
8,cash_rate_change_lag1_x_unemployment_rate_change_lag1,0.0,2.770652,0.464159,0.9
