phase,stage,units,dropout,lookback,learning_rate,origin_n,rmse,mae
screen,baseline,16,0.2,8,0.001,20,1.055855,0.916399
screen,units,4,0.2,8,0.001,20,1.133954,0.991989
screen,units,8,0.2,8,0.001,20,1.136699,0.985794
screen,units,32,0.2,8,0.001,20,0.990472,0.852591
screen,dropout,32,0.0,8,0.001,20,0.986564,0.843239
screen,dropout,32,0.1,8,0.001,20,0.986404,0.849665
screen,dropout,32,0.2,8,0.001,20,0.990472,0.852591
screen,dropout,32,0.3,8,0.001,20,0.983612,0.848336
screen,dropout,32,0.4,8,0.001,20,0.987356,0.852538
screen,lookback,32,0.3,4,0.001,20,1.03245,0.879233
screen,lookback,32,0.3,6,0.001,20,1.013831,0.88831
screen,lookback,32,0.3,12,0.001,20,1.049752,0.89636
screen,learning_rate,32,0.3,8,0.0001,20,1.100057,0.947684
screen,learning_rate,32,0.3,8,0.0003,20,1.003931,0.864843
screen,learning_rate,32,0.3,8,0.003,20,0.981688,0.843279
