config,model,horizon,n,rmse,mae
baseline,lstm,overall,1320,2.108893,1.683843
baseline,lstm,1,165,1.954307,1.571485
baseline,lstm,2,165,2.072225,1.692371
baseline,lstm,3,165,2.173047,1.779381
baseline,lstm,4,165,2.204058,1.823064
baseline,lstm,5,165,2.086851,1.659884
baseline,lstm,6,165,2.053932,1.624263
baseline,lstm,7,165,2.139834,1.651236
baseline,lstm,8,165,2.175668,1.669063
best_screened,lstm,overall,1320,2.136907,1.701124
best_screened,lstm,1,165,1.992884,1.594747
best_screened,lstm,2,165,2.126743,1.758196
best_screened,lstm,3,165,2.19686,1.840571
best_screened,lstm,4,165,2.154808,1.767841
best_screened,lstm,5,165,2.058509,1.624425
best_screened,lstm,6,165,2.08986,1.634858
best_screened,lstm,7,165,2.181873,1.654015
best_screened,lstm,8,165,2.280662,1.734339
