model,horizon,n,rmse,mae,comparison_grid,evaluation_status,forecast_origin_n,evaluated_horizons,group_id,best_model
sarima,overall,424,1.765204,1.067018,shared_horizon_1_8_grid,evaluated,53,1-8,,ensemble
elastic_net,overall,424,1.703591,1.245945,shared_horizon_1_8_grid,evaluated,53,1-8,,ensemble
ensemble,overall,424,1.697247,1.120515,shared_horizon_1_8_grid,evaluated,53,1-8,,ensemble
sarimax,overall,53,0.776839,0.556312,sarimax_group_d_shared_key_intersection,evaluated_on_available_horizons,53,1,D,ensemble
seasonal_naive,overall,424,2.149568,1.497038,shared_horizon_1_8_grid,evaluated,53,1-8,,ensemble
rba,overall,424,1.699033,1.122113,shared_horizon_1_8_grid,evaluated,53,1-8,,ensemble
sarima,1,53,0.650947,0.430048,shared_horizon_1_8_grid,evaluated,53,1-8,,sarima
elastic_net,1,53,1.069364,0.835159,shared_horizon_1_8_grid,evaluated,53,1-8,,sarima
ensemble,1,53,0.74183,0.51078,shared_horizon_1_8_grid,evaluated,53,1-8,,sarima
sarimax,1,53,0.776839,0.556312,sarimax_group_d_shared_key_intersection,evaluated_on_available_horizons,53,1,D,sarima
seasonal_naive,1,53,1.71349,1.220592,shared_horizon_1_8_grid,evaluated,53,1-8,,sarima
rba,1,53,0.731989,0.523433,shared_horizon_1_8_grid,evaluated,53,1-8,,sarima
sarima,2,53,1.139574,0.756915,shared_horizon_1_8_grid,evaluated,53,1-8,,rba
elastic_net,2,53,1.43165,1.083189,shared_horizon_1_8_grid,evaluated,53,1-8,,rba
ensemble,2,53,1.223591,0.840865,shared_horizon_1_8_grid,evaluated,53,1-8,,rba
sarimax,2,0,,,sarimax_group_d_shared_key_intersection,not_evaluated_at_this_horizon,0,1,D,rba
seasonal_naive,2,53,1.739642,1.255721,shared_horizon_1_8_grid,evaluated,53,1-8,,rba
rba,2,53,1.105433,0.757158,shared_horizon_1_8_grid,evaluated,53,1-8,,rba
sarima,3,53,1.584289,0.997951,shared_horizon_1_8_grid,evaluated,53,1-8,,rba
elastic_net,3,53,1.753513,1.280886,shared_horizon_1_8_grid,evaluated,53,1-8,,rba
ensemble,3,53,1.630174,1.085743,shared_horizon_1_8_grid,evaluated,53,1-8,,rba
sarimax,3,0,,,sarimax_group_d_shared_key_intersection,not_evaluated_at_this_horizon,0,1,D,rba
seasonal_naive,3,53,1.770446,1.29138,shared_horizon_1_8_grid,evaluated,53,1-8,,rba
rba,3,53,1.525555,1.051837,shared_horizon_1_8_grid,evaluated,53,1-8,,rba
sarima,4,53,2.011278,1.237729,shared_horizon_1_8_grid,evaluated,53,1-8,,rba
elastic_net,4,53,1.823985,1.348634,shared_horizon_1_8_grid,evaluated,53,1-8,,rba
ensemble,4,53,1.895346,1.288393,shared_horizon_1_8_grid,evaluated,53,1-8,,rba
sarimax,4,0,,,sarimax_group_d_shared_key_intersection,not_evaluated_at_this_horizon,0,1,D,rba
seasonal_naive,4,53,1.782332,1.309682,shared_horizon_1_8_grid,evaluated,53,1-8,,rba
rba,4,53,1.781745,1.202782,shared_horizon_1_8_grid,evaluated,53,1-8,,rba
sarima,5,53,2.054556,1.275899,shared_horizon_1_8_grid,evaluated,53,1-8,,elastic_net
elastic_net,5,53,1.81876,1.352991,shared_horizon_1_8_grid,evaluated,53,1-8,,elastic_net
ensemble,5,53,1.912155,1.307924,shared_horizon_1_8_grid,evaluated,53,1-8,,elastic_net
sarimax,5,0,,,sarimax_group_d_shared_key_intersection,not_evaluated_at_this_horizon,0,1,D,elastic_net
seasonal_naive,5,53,2.444346,1.688413,shared_horizon_1_8_grid,evaluated,53,1-8,,elastic_net
rba,5,53,1.928232,1.326719,shared_horizon_1_8_grid,evaluated,53,1-8,,elastic_net
sarima,6,53,2.042746,1.273857,shared_horizon_1_8_grid,evaluated,53,1-8,,elastic_net
elastic_net,6,53,1.881351,1.375593,shared_horizon_1_8_grid,evaluated,53,1-8,,elastic_net
