group_id,group_name,horizon_range,horizon_cap,features,selected_order,selected_seasonal_order,selected_by,group_origin_n,group_overall_metric_n,sample_size_note,model,horizon,n,rmse,mae
ELASTIC_NET,regularized direct multihorizon,1-8,8,trimmed_mean_cpi_yoy_lag1;trimmed_mean_cpi_yoy_lag4;commodity_growth_lag1;wti_growth_lag1;commodity_growth_lag1_sq;wti_growth_lag1_sq;cash_rate_change_lag1_x_unemployment_rate_change_lag1,fixed_architecture,,elastic_net_cv_per_horizon,55,440,"Elastic Net horizons 1-8 use only the past origin row (direct multi-horizon, lag-safe feature set).",elastic_net,overall,440,1.406506,0.974175
ELASTIC_NET,regularized direct multihorizon,1-8,8,trimmed_mean_cpi_yoy_lag1;trimmed_mean_cpi_yoy_lag4;commodity_growth_lag1;wti_growth_lag1;commodity_growth_lag1_sq;wti_growth_lag1_sq;cash_rate_change_lag1_x_unemployment_rate_change_lag1,fixed_architecture,,elastic_net_cv_per_horizon,55,440,"Elastic Net horizons 1-8 use only the past origin row (direct multi-horizon, lag-safe feature set).",elastic_net,1,55,0.636572,0.429444
ELASTIC_NET,regularized direct multihorizon,1-8,8,trimmed_mean_cpi_yoy_lag1;trimmed_mean_cpi_yoy_lag4;commodity_growth_lag1;wti_growth_lag1;commodity_growth_lag1_sq;wti_growth_lag1_sq;cash_rate_change_lag1_x_unemployment_rate_change_lag1,fixed_architecture,,elastic_net_cv_per_horizon,55,440,"Elastic Net horizons 1-8 use only the past origin row (direct multi-horizon, lag-safe feature set).",elastic_net,2,55,0.96711,0.653853
ELASTIC_NET,regularized direct multihorizon,1-8,8,trimmed_mean_cpi_yoy_lag1;trimmed_mean_cpi_yoy_lag4;commodity_growth_lag1;wti_growth_lag1;commodity_growth_lag1_sq;wti_growth_lag1_sq;cash_rate_change_lag1_x_unemployment_rate_change_lag1,fixed_architecture,,elastic_net_cv_per_horizon,55,440,"Elastic Net horizons 1-8 use only the past origin row (direct multi-horizon, lag-safe feature set).",elastic_net,3,55,1.223748,0.882268
ELASTIC_NET,regularized direct multihorizon,1-8,8,trimmed_mean_cpi_yoy_lag1;trimmed_mean_cpi_yoy_lag4;commodity_growth_lag1;wti_growth_lag1;commodity_growth_lag1_sq;wti_growth_lag1_sq;cash_rate_change_lag1_x_unemployment_rate_change_lag1,fixed_architecture,,elastic_net_cv_per_horizon,55,440,"Elastic Net horizons 1-8 use only the past origin row (direct multi-horizon, lag-safe feature set).",elastic_net,4,55,1.394787,0.947954
ELASTIC_NET,regularized direct multihorizon,1-8,8,trimmed_mean_cpi_yoy_lag1;trimmed_mean_cpi_yoy_lag4;commodity_growth_lag1;wti_growth_lag1;commodity_growth_lag1_sq;wti_growth_lag1_sq;cash_rate_change_lag1_x_unemployment_rate_change_lag1,fixed_architecture,,elastic_net_cv_per_horizon,55,440,"Elastic Net horizons 1-8 use only the past origin row (direct multi-horizon, lag-safe feature set).",elastic_net,5,55,1.60308,1.119712
ELASTIC_NET,regularized direct multihorizon,1-8,8,trimmed_mean_cpi_yoy_lag1;trimmed_mean_cpi_yoy_lag4;commodity_growth_lag1;wti_growth_lag1;commodity_growth_lag1_sq;wti_growth_lag1_sq;cash_rate_change_lag1_x_unemployment_rate_change_lag1,fixed_architecture,,elastic_net_cv_per_horizon,55,440,"Elastic Net horizons 1-8 use only the past origin row (direct multi-horizon, lag-safe feature set).",elastic_net,6,55,1.721105,1.232548
ELASTIC_NET,regularized direct multihorizon,1-8,8,trimmed_mean_cpi_yoy_lag1;trimmed_mean_cpi_yoy_lag4;commodity_growth_lag1;wti_growth_lag1;commodity_growth_lag1_sq;wti_growth_lag1_sq;cash_rate_change_lag1_x_unemployment_rate_change_lag1,fixed_architecture,,elastic_net_cv_per_horizon,55,440,"Elastic Net horizons 1-8 use only the past origin row (direct multi-horizon, lag-safe feature set).",elastic_net,7,55,1.745975,1.291574
ELASTIC_NET,regularized direct multihorizon,1-8,8,trimmed_mean_cpi_yoy_lag1;trimmed_mean_cpi_yoy_lag4;commodity_growth_lag1;wti_growth_lag1;commodity_growth_lag1_sq;wti_growth_lag1_sq;cash_rate_change_lag1_x_unemployment_rate_change_lag1,fixed_architecture,,elastic_net_cv_per_horizon,55,440,"Elastic Net horizons 1-8 use only the past origin row (direct multi-horizon, lag-safe feature set).",elastic_net,8,55,1.569092,1.236046
ELASTIC_NET,regularized direct multihorizon,1-8,8,trimmed_mean_cpi_yoy_lag1;trimmed_mean_cpi_yoy_lag4;commodity_growth_lag1;wti_growth_lag1;commodity_growth_lag1_sq;wti_growth_lag1_sq;cash_rate_change_lag1_x_unemployment_rate_change_lag1,fixed_architecture,,elastic_net_cv_per_horizon,55,440,"Elastic Net horizons 1-8 use only the past origin row (direct multi-horizon, lag-safe feature set).",sarima,overall,440,1.281378,0.76909
