model,horizon,n,rmse,mae
elastic_net,overall,440,1.681854,1.227456
elastic_net,1,55,1.062843,0.820499
elastic_net,2,55,1.418183,1.069438
elastic_net,3,55,1.735124,1.259802
elastic_net,4,55,1.811888,1.326657
elastic_net,5,55,1.794533,1.327486
elastic_net,6,55,1.822611,1.342071
elastic_net,7,55,1.806916,1.329229
elastic_net,8,55,1.840483,1.34447
ensemble,overall,440,1.617196,1.143413
ensemble,1,55,0.694156,0.49438
ensemble,2,55,1.093249,0.795588
ensemble,3,55,1.492675,1.071427
ensemble,4,55,1.790729,1.308778
ensemble,5,55,1.817568,1.333878
ensemble,6,55,1.863978,1.365909
ensemble,7,55,1.862979,1.37453
ensemble,8,55,1.887353,1.402817
rba,overall,440,1.68814,1.116364
rba,1,55,0.74419,0.530909
rba,2,55,1.111755,0.763636
rba,3,55,1.518732,1.043636
rba,4,55,1.772517,1.196364
rba,5,55,1.910926,1.309091
rba,6,55,1.98421,1.36
rba,7,55,2.000136,1.361818
rba,8,55,1.99276,1.365455
sarima,overall,440,1.629846,1.139216
sarima,1,55,0.599913,0.411331
sarima,2,55,0.979674,0.714652
sarima,3,55,1.387625,0.998734
sarima,4,55,1.795343,1.299091
sarima,5,55,1.861776,1.366766
sarima,6,55,1.925533,1.412962
sarima,7,55,1.94299,1.438523
sarima,8,55,1.957978,1.471667
seasonal_naive,overall,440,2.150803,1.517273
seasonal_naive,1,55,1.758408,1.287273
seasonal_naive,2,55,1.770311,1.307273
seasonal_naive,3,55,1.776462,1.318182
seasonal_naive,4,55,1.788244,1.338182
seasonal_naive,5,55,2.48307,1.754545
seasonal_naive,6,55,2.476214,1.734545
seasonal_naive,7,55,2.464622,1.707273
seasonal_naive,8,55,2.460968,1.690909
