model,horizon,n,rmse,mae
elastic_net,overall,424,1.426453,0.989237
elastic_net,1,53,0.624465,0.414243
elastic_net,2,53,0.962881,0.640563
elastic_net,3,53,1.237753,0.888821
elastic_net,4,53,1.420542,0.97865
elastic_net,5,53,1.632912,1.158459
elastic_net,6,53,1.751504,1.265581
elastic_net,7,53,1.773908,1.315445
elastic_net,8,53,1.590645,1.252135
ensemble,overall,424,1.284737,0.818991
ensemble,1,53,0.41715,0.280071
ensemble,2,53,0.720717,0.471123
ensemble,3,53,1.010762,0.673051
ensemble,4,53,1.262375,0.809133
ensemble,5,53,1.451581,0.949524
ensemble,6,53,1.586649,1.061069
ensemble,7,53,1.649441,1.14521
ensemble,8,53,1.597037,1.16275
sarima,overall,424,1.298886,0.776841
sarima,1,53,0.276673,0.200365
sarima,2,53,0.565798,0.379041
sarima,3,53,0.895781,0.568862
sarima,4,53,1.242531,0.785421
sarima,5,53,1.453936,0.926495
sarima,6,53,1.595919,1.03952
sarima,7,53,1.702591,1.121075
sarima,8,53,1.787218,1.193947
seasonal_naive,overall,424,1.580535,0.926179
seasonal_naive,1,53,1.23716,0.716981
seasonal_naive,2,53,1.255554,0.733962
seasonal_naive,3,53,1.272273,0.760377
seasonal_naive,4,53,1.279593,0.777358
seasonal_naive,5,53,1.798742,1.056604
seasonal_naive,6,53,1.845188,1.1
seasonal_naive,7,53,1.866538,1.126415
seasonal_naive,8,53,1.870173,1.137736
