group_id,group_name,horizon_range,horizon_cap,features,level_change_selection_note,selected_order,selected_seasonal_order,selected_by,selection_aic,selection_bic,group_origin_n,group_overall_metric_n,previous_nested_origin_n,origin_drop_from_previous_nested_group,sample_size_note,model,horizon,n,rmse,mae
LSTM,compact direct multihorizon,1-8,8,cash_rate_change_lag1;unemployment_rate_change_lag1;inflation_expectations_business_lag1;ppi_growth_lag2;commodity_growth_lag1;wti_growth_lag1,Reuses fixed SARIMAX Group D features.,fixed_lstm,,fixed_architecture,,,53,424,,,SARIMAX(D) remains lag-safety capped at horizon 1 because Group D includes lag-1 regressors; LSTM horizons 1-8 use only the past origin window.,lstm,overall,424,1.818151,1.384633
LSTM,compact direct multihorizon,1-8,8,cash_rate_change_lag1;unemployment_rate_change_lag1;inflation_expectations_business_lag1;ppi_growth_lag2;commodity_growth_lag1;wti_growth_lag1,Reuses fixed SARIMAX Group D features.,fixed_lstm,,fixed_architecture,,,53,424,,,SARIMAX(D) remains lag-safety capped at horizon 1 because Group D includes lag-1 regressors; LSTM horizons 1-8 use only the past origin window.,lstm,1,53,1.444313,1.134337
LSTM,compact direct multihorizon,1-8,8,cash_rate_change_lag1;unemployment_rate_change_lag1;inflation_expectations_business_lag1;ppi_growth_lag2;commodity_growth_lag1;wti_growth_lag1,Reuses fixed SARIMAX Group D features.,fixed_lstm,,fixed_architecture,,,53,424,,,SARIMAX(D) remains lag-safety capped at horizon 1 because Group D includes lag-1 regressors; LSTM horizons 1-8 use only the past origin window.,lstm,2,53,1.632871,1.284661
LSTM,compact direct multihorizon,1-8,8,cash_rate_change_lag1;unemployment_rate_change_lag1;inflation_expectations_business_lag1;ppi_growth_lag2;commodity_growth_lag1;wti_growth_lag1,Reuses fixed SARIMAX Group D features.,fixed_lstm,,fixed_architecture,,,53,424,,,SARIMAX(D) remains lag-safety capped at horizon 1 because Group D includes lag-1 regressors; LSTM horizons 1-8 use only the past origin window.,lstm,3,53,1.842148,1.50005
LSTM,compact direct multihorizon,1-8,8,cash_rate_change_lag1;unemployment_rate_change_lag1;inflation_expectations_business_lag1;ppi_growth_lag2;commodity_growth_lag1;wti_growth_lag1,Reuses fixed SARIMAX Group D features.,fixed_lstm,,fixed_architecture,,,53,424,,,SARIMAX(D) remains lag-safety capped at horizon 1 because Group D includes lag-1 regressors; LSTM horizons 1-8 use only the past origin window.,lstm,4,53,1.978085,1.569858
LSTM,compact direct multihorizon,1-8,8,cash_rate_change_lag1;unemployment_rate_change_lag1;inflation_expectations_business_lag1;ppi_growth_lag2;commodity_growth_lag1;wti_growth_lag1,Reuses fixed SARIMAX Group D features.,fixed_lstm,,fixed_architecture,,,53,424,,,SARIMAX(D) remains lag-safety capped at horizon 1 because Group D includes lag-1 regressors; LSTM horizons 1-8 use only the past origin window.,lstm,5,53,1.918016,1.505956
LSTM,compact direct multihorizon,1-8,8,cash_rate_change_lag1;unemployment_rate_change_lag1;inflation_expectations_business_lag1;ppi_growth_lag2;commodity_growth_lag1;wti_growth_lag1,Reuses fixed SARIMAX Group D features.,fixed_lstm,,fixed_architecture,,,53,424,,,SARIMAX(D) remains lag-safety capped at horizon 1 because Group D includes lag-1 regressors; LSTM horizons 1-8 use only the past origin window.,lstm,6,53,1.887775,1.401049
LSTM,compact direct multihorizon,1-8,8,cash_rate_change_lag1;unemployment_rate_change_lag1;inflation_expectations_business_lag1;ppi_growth_lag2;commodity_growth_lag1;wti_growth_lag1,Reuses fixed SARIMAX Group D features.,fixed_lstm,,fixed_architecture,,,53,424,,,SARIMAX(D) remains lag-safety capped at horizon 1 because Group D includes lag-1 regressors; LSTM horizons 1-8 use only the past origin window.,lstm,7,53,1.902224,1.375864
LSTM,compact direct multihorizon,1-8,8,cash_rate_change_lag1;unemployment_rate_change_lag1;inflation_expectations_business_lag1;ppi_growth_lag2;commodity_growth_lag1;wti_growth_lag1,Reuses fixed SARIMAX Group D features.,fixed_lstm,,fixed_architecture,,,53,424,,,SARIMAX(D) remains lag-safety capped at horizon 1 because Group D includes lag-1 regressors; LSTM horizons 1-8 use only the past origin window.,lstm,8,53,1.877715,1.305285
LSTM,compact direct multihorizon,1-8,8,cash_rate_change_lag1;unemployment_rate_change_lag1;inflation_expectations_business_lag1;ppi_growth_lag2;commodity_growth_lag1;wti_growth_lag1,Reuses fixed SARIMAX Group D features.,fixed_lstm,,fixed_architecture,,,53,424,,,SARIMAX(D) remains lag-safety capped at horizon 1 because Group D includes lag-1 regressors; LSTM horizons 1-8 use only the past origin window.,rba,overall,424,1.699033,1.122113
