model,horizon,n,rmse,mae
rba,overall,624,1.502771,1.008255
rba,1,81,0.674145,0.49343
rba,2,81,1.008377,0.705728
rba,3,81,1.353542,0.937675
rba,4,81,1.575608,1.095771
rba,5,81,1.682396,1.181052
rba,6,81,1.736877,1.208248
rba,7,73,1.810723,1.242821
rba,8,65,1.871093,1.277709
sarima,overall,624,1.576414,0.993869
sarima,1,81,0.608084,0.406581
sarima,2,81,1.072478,0.742279
sarima,3,81,1.457298,0.974617
sarima,4,81,1.808846,1.189639
sarima,5,81,1.828289,1.202234
sarima,6,81,1.785115,1.164463
sarima,7,73,1.792028,1.137037
sarima,8,65,1.8697,1.18624
seasonal_naive,overall,624,1.944355,1.379917
seasonal_naive,1,81,1.663183,1.219233
seasonal_naive,2,81,1.673977,1.229161
seasonal_naive,3,81,1.696022,1.257105
seasonal_naive,4,81,1.705549,1.2743
seasonal_naive,5,81,2.08447,1.431455
seasonal_naive,6,81,2.126434,1.466746
seasonal_naive,7,73,2.229064,1.560876
seasonal_naive,8,65,2.348367,1.677021
