model,horizon,n,rmse,mae
sarima,overall,616,1.158072,0.711544
sarima,1,77,0.263529,0.194563
sarima,2,77,0.522825,0.361302
sarima,3,77,0.819826,0.539177
sarima,4,77,1.121625,0.721821
sarima,5,77,1.295947,0.840335
sarima,6,77,1.41604,0.943145
sarima,7,77,1.508062,1.015089
sarima,8,77,1.580254,1.076916
seasonal_naive,overall,616,1.428939,0.889448
seasonal_naive,1,77,1.131486,0.693506
seasonal_naive,2,77,1.149873,0.715584
seasonal_naive,3,77,1.162454,0.733766
seasonal_naive,4,77,1.167971,0.745455
seasonal_naive,5,77,1.621367,1.015584
seasonal_naive,6,77,1.659252,1.053247
seasonal_naive,7,77,1.677467,1.076623
seasonal_naive,8,77,1.679634,1.081818
