model,horizon,n,rmse,mae,comparison_grid,evaluation_status,forecast_origin_n,evaluated_horizons,group_id,best_model
sarima,overall,440,1.281378,0.76909,shared_horizon_1_8_grid,evaluated,55,1-8,,ensemble
elastic_net,overall,440,1.406506,0.974175,shared_horizon_1_8_grid,evaluated,55,1-8,,ensemble
ensemble,overall,440,1.251526,0.786603,shared_horizon_1_8_grid,evaluated,55,1-8,,ensemble
seasonal_naive,overall,440,1.57726,0.940227,shared_horizon_1_8_grid,evaluated,55,1-8,,ensemble
sarima,1,55,0.273528,0.197644,shared_horizon_1_8_grid,evaluated,55,1-8,,sarima
elastic_net,1,55,0.636572,0.429444,shared_horizon_1_8_grid,evaluated,55,1-8,,sarima
ensemble,1,55,0.346951,0.233118,shared_horizon_1_8_grid,evaluated,55,1-8,,sarima
seasonal_naive,1,55,1.254881,0.750909,shared_horizon_1_8_grid,evaluated,55,1-8,,sarima
sarima,2,55,0.564203,0.382072,shared_horizon_1_8_grid,evaluated,55,1-8,,sarima
elastic_net,2,55,0.96711,0.653853,shared_horizon_1_8_grid,evaluated,55,1-8,,sarima
ensemble,2,55,0.65925,0.429898,shared_horizon_1_8_grid,evaluated,55,1-8,,sarima
seasonal_naive,2,55,1.256257,0.752727,shared_horizon_1_8_grid,evaluated,55,1-8,,sarima
sarima,3,55,0.893147,0.577626,shared_horizon_1_8_grid,evaluated,55,1-8,,sarima
elastic_net,3,55,1.223748,0.882268,shared_horizon_1_8_grid,evaluated,55,1-8,,sarima
ensemble,3,55,0.96655,0.632823,shared_horizon_1_8_grid,evaluated,55,1-8,,sarima
seasonal_naive,3,55,1.264911,0.770909,shared_horizon_1_8_grid,evaluated,55,1-8,,sarima
sarima,4,55,1.234885,0.793487,shared_horizon_1_8_grid,evaluated,55,1-8,,sarima
elastic_net,4,55,1.394787,0.947954,shared_horizon_1_8_grid,evaluated,55,1-8,,sarima
ensemble,4,55,1.238372,0.798042,shared_horizon_1_8_grid,evaluated,55,1-8,,sarima
seasonal_naive,4,55,1.276928,0.792727,shared_horizon_1_8_grid,evaluated,55,1-8,,sarima
sarima,5,55,1.439425,0.928213,shared_horizon_1_8_grid,evaluated,55,1-8,,ensemble
elastic_net,5,55,1.60308,1.119712,shared_horizon_1_8_grid,evaluated,55,1-8,,ensemble
ensemble,5,55,1.423027,0.928789,shared_horizon_1_8_grid,evaluated,55,1-8,,ensemble
seasonal_naive,5,55,1.838626,1.114545,shared_horizon_1_8_grid,evaluated,55,1-8,,ensemble
sarima,6,55,1.571963,1.025243,shared_horizon_1_8_grid,evaluated,55,1-8,,ensemble
elastic_net,6,55,1.721105,1.232548,shared_horizon_1_8_grid,evaluated,55,1-8,,ensemble
ensemble,6,55,1.554771,1.028024,shared_horizon_1_8_grid,evaluated,55,1-8,,ensemble
seasonal_naive,6,55,1.839466,1.116364,shared_horizon_1_8_grid,evaluated,55,1-8,,ensemble
sarima,7,55,1.672614,1.092144,shared_horizon_1_8_grid,evaluated,55,1-8,,ensemble
elastic_net,7,55,1.745975,1.291574,shared_horizon_1_8_grid,evaluated,55,1-8,,ensemble
ensemble,7,55,1.618837,1.108377,shared_horizon_1_8_grid,evaluated,55,1-8,,ensemble
seasonal_naive,7,55,1.837538,1.110909,shared_horizon_1_8_grid,evaluated,55,1-8,,ensemble
sarima,8,55,1.754709,1.156288,shared_horizon_1_8_grid,evaluated,55,1-8,,ensemble
elastic_net,8,55,1.569092,1.236046,shared_horizon_1_8_grid,evaluated,55,1-8,,ensemble
ensemble,8,55,1.563589,1.133757,shared_horizon_1_8_grid,evaluated,55,1-8,,ensemble
seasonal_naive,8,55,1.837884,1.112727,shared_horizon_1_8_grid,evaluated,55,1-8,,ensemble
