model,horizon,scale_factor,calibration_n,target_coverage
elastic_net,1,1.01613,37,0.8
elastic_net,2,1.246701,37,0.8
elastic_net,3,1.461157,37,0.8
elastic_net,4,1.403432,37,0.8
elastic_net,5,1.346071,37,0.8
elastic_net,6,1.406201,37,0.8
elastic_net,7,1.281422,37,0.8
elastic_net,8,1.246907,37,0.8
ensemble,1,1.290609,37,0.8
ensemble,2,1.439188,37,0.8
ensemble,3,1.917887,37,0.8
ensemble,4,1.808191,37,0.8
ensemble,5,1.662745,37,0.8
ensemble,6,1.704211,37,0.8
ensemble,7,1.615867,37,0.8
ensemble,8,1.739652,37,0.8
sarima,1,0.740229,51,0.8
sarima,2,0.941796,51,0.8
sarima,3,1.149556,51,0.8
sarima,4,1.008636,51,0.8
sarima,5,0.918103,51,0.8
sarima,6,0.786934,51,0.8
sarima,7,0.73033,51,0.8
sarima,8,0.738435,51,0.8
sarimax_group_d,1,1.556056,42,0.8
