model,horizon,scale_factor,calibration_n,target_coverage
elastic_net,1,0.786051,37,0.8
elastic_net,2,0.892865,37,0.8
elastic_net,3,1.069603,37,0.8
elastic_net,4,1.107092,37,0.8
elastic_net,5,1.358825,37,0.8
elastic_net,6,1.417857,37,0.8
elastic_net,7,1.451551,37,0.8
elastic_net,8,1.459048,37,0.8
ensemble,1,0.905562,37,0.8
ensemble,2,0.949951,37,0.8
ensemble,3,1.284411,37,0.8
ensemble,4,1.272258,37,0.8
ensemble,5,1.418563,37,0.8
ensemble,6,1.34712,37,0.8
ensemble,7,1.627157,37,0.8
ensemble,8,1.65438,37,0.8
sarima,1,1.216843,53,0.8
sarima,2,1.188664,53,0.8
sarima,3,1.201342,53,0.8
sarima,4,1.263559,53,0.8
sarima,5,1.176121,53,0.8
sarima,6,1.15816,53,0.8
sarima,7,1.252291,53,0.8
sarima,8,1.357512,53,0.8
