model,horizon,n,nominal_coverage,empirical_coverage,coverage_ci_lower,coverage_ci_upper,binom_p_value,significantly_miscalibrated,mean_interval_width,sample_grid_note
elastic_net,overall,424,0.8,0.683962,0.637358,0.727977,0.0,True,3.727932,Coverage is evaluated on each family's own achievable walk-forward origins; rows are not restricted to a cross-family common grid.
elastic_net,1,53,0.8,0.792453,0.658929,0.891577,0.864111,False,3.25676,Coverage is evaluated on each family's own achievable walk-forward origins; rows are not restricted to a cross-family common grid.
elastic_net,2,53,0.8,0.754717,0.617175,0.862449,0.392747,False,3.602536,Coverage is evaluated on each family's own achievable walk-forward origins; rows are not restricted to a cross-family common grid.
elastic_net,3,53,0.8,0.641509,0.498033,0.768569,0.008731,True,3.687582,Coverage is evaluated on each family's own achievable walk-forward origins; rows are not restricted to a cross-family common grid.
elastic_net,4,53,0.8,0.679245,0.536839,0.800813,0.037704,True,3.672778,Coverage is evaluated on each family's own achievable walk-forward origins; rows are not restricted to a cross-family common grid.
elastic_net,5,53,0.8,0.641509,0.498033,0.768569,0.008731,True,3.69468,Coverage is evaluated on each family's own achievable walk-forward origins; rows are not restricted to a cross-family common grid.
elastic_net,6,53,0.8,0.622642,0.478939,0.752128,0.002892,True,3.818363,Coverage is evaluated on each family's own achievable walk-forward origins; rows are not restricted to a cross-family common grid.
elastic_net,7,53,0.8,0.660377,0.517331,0.7848,0.015602,True,3.949556,Coverage is evaluated on each family's own achievable walk-forward origins; rows are not restricted to a cross-family common grid.
elastic_net,8,53,0.8,0.679245,0.536839,0.800813,0.037704,True,4.141197,Coverage is evaluated on each family's own achievable walk-forward origins; rows are not restricted to a cross-family common grid.
ensemble,overall,424,0.8,0.665094,0.617958,0.709907,0.0,True,3.390549,Coverage is evaluated on each family's own achievable walk-forward origins; rows are not restricted to a cross-family common grid.
ensemble,1,53,0.8,0.867925,0.746632,0.94521,0.301127,False,2.155814,Coverage is evaluated on each family's own achievable walk-forward origins; rows are not restricted to a cross-family common grid.
ensemble,2,53,0.8,0.754717,0.617175,0.862449,0.392747,False,2.832151,Coverage is evaluated on each family's own achievable walk-forward origins; rows are not restricted to a cross-family common grid.
ensemble,3,53,0.8,0.660377,0.517331,0.7848,0.015602,True,3.287515,Coverage is evaluated on each family's own achievable walk-forward origins; rows are not restricted to a cross-family common grid.
ensemble,4,53,0.8,0.603774,0.460043,0.735484,0.000918,True,3.610799,Coverage is evaluated on each family's own achievable walk-forward origins; rows are not restricted to a cross-family common grid.
ensemble,5,53,0.8,0.54717,0.404498,0.684385,3.5e-05,True,3.67077,Coverage is evaluated on each family's own achievable walk-forward origins; rows are not restricted to a cross-family common grid.
ensemble,6,53,0.8,0.584906,0.44134,0.718642,0.000389,True,3.747028,Coverage is evaluated on each family's own achievable walk-forward origins; rows are not restricted to a cross-family common grid.
ensemble,7,53,0.8,0.641509,0.498033,0.768569,0.008731,True,3.862246,Coverage is evaluated on each family's own achievable walk-forward origins; rows are not restricted to a cross-family common grid.
ensemble,8,53,0.8,0.660377,0.517331,0.7848,0.015602,True,3.95807,Coverage is evaluated on each family's own achievable walk-forward origins; rows are not restricted to a cross-family common grid.
sarima,overall,616,0.8,0.780844,0.746058,0.812912,0.246518,False,3.439165,Coverage is evaluated on each family's own achievable walk-forward origins; rows are not restricted to a cross-family common grid.
sarima,1,77,0.8,0.87013,0.774105,0.935927,0.153142,False,1.705572,Coverage is evaluated on each family's own achievable walk-forward origins; rows are not restricted to a cross-family common grid.
sarima,2,77,0.8,0.818182,0.713797,0.896878,0.776777,False,2.507256,Coverage is evaluated on each family's own achievable walk-forward origins; rows are not restricted to a cross-family common grid.
sarima,3,77,0.8,0.74026,0.627744,0.833567,0.199356,False,3.285146,Coverage is evaluated on each family's own achievable walk-forward origins; rows are not restricted to a cross-family common grid.
sarima,4,77,0.8,0.74026,0.627744,0.833567,0.199356,False,3.906548,Coverage is evaluated on each family's own achievable walk-forward origins; rows are not restricted to a cross-family common grid.
sarima,5,77,0.8,0.74026,0.627744,0.833567,0.199356,False,3.968851,Coverage is evaluated on each family's own achievable walk-forward origins; rows are not restricted to a cross-family common grid.
sarima,6,77,0.8,0.766234,0.655943,0.855183,0.475773,False,4.020031,Coverage is evaluated on each family's own achievable walk-forward origins; rows are not restricted to a cross-family common grid.
sarima,7,77,0.8,0.792208,0.684608,0.876309,0.886617,False,4.042201,Coverage is evaluated on each family's own achievable walk-forward origins; rows are not restricted to a cross-family common grid.
sarima,8,77,0.8,0.779221,0.670214,0.865811,0.668792,False,4.077715,Coverage is evaluated on each family's own achievable walk-forward origins; rows are not restricted to a cross-family common grid.
