model_family,target_column,forecast_origin,draw_id,horizon,target_quarter,value
ensemble,cpi_yoy,2025Q4,0,1,2026Q1,3.3982330034557675
ensemble,cpi_yoy,2025Q4,0,2,2026Q2,4.036411229964754
ensemble,cpi_yoy,2025Q4,0,3,2026Q3,4.205252595954696
ensemble,cpi_yoy,2025Q4,0,4,2026Q4,4.2559145188421255
ensemble,cpi_yoy,2025Q4,0,5,2027Q1,3.6236403513370123
ensemble,cpi_yoy,2025Q4,0,6,2027Q2,2.5946111437529806
ensemble,cpi_yoy,2025Q4,0,7,2027Q3,1.9209318108458646
ensemble,cpi_yoy,2025Q4,0,8,2027Q4,2.7836966985337606
ensemble,cpi_yoy,2025Q4,1,1,2026Q1,2.88535299775943
ensemble,cpi_yoy,2025Q4,1,2,2026Q2,2.737921865875089
ensemble,cpi_yoy,2025Q4,1,3,2026Q3,3.0626226651892585
ensemble,cpi_yoy,2025Q4,1,4,2026Q4,3.107065778266796
ensemble,cpi_yoy,2025Q4,1,5,2027Q1,2.5402226397888596
ensemble,cpi_yoy,2025Q4,1,6,2027Q2,3.036605177754768
ensemble,cpi_yoy,2025Q4,1,7,2027Q3,2.7254514163859764
ensemble,cpi_yoy,2025Q4,1,8,2027Q4,2.8173975989779088
ensemble,cpi_yoy,2025Q4,2,1,2026Q1,2.9406273558145237
ensemble,cpi_yoy,2025Q4,2,2,2026Q2,3.372348866481948
ensemble,cpi_yoy,2025Q4,2,3,2026Q3,3.1158157631430585
ensemble,cpi_yoy,2025Q4,2,4,2026Q4,3.2496556882508303
ensemble,cpi_yoy,2025Q4,2,5,2027Q1,2.975723971346707
ensemble,cpi_yoy,2025Q4,2,6,2027Q2,2.00219824076561
ensemble,cpi_yoy,2025Q4,2,7,2027Q3,2.0862142350523896
ensemble,cpi_yoy,2025Q4,2,8,2027Q4,1.519202643660727
ensemble,cpi_yoy,2025Q4,3,1,2026Q1,3.045101392835263
ensemble,cpi_yoy,2025Q4,3,2,2026Q2,3.059831236583049
ensemble,cpi_yoy,2025Q4,3,3,2026Q3,2.5977136788944395
ensemble,cpi_yoy,2025Q4,3,4,2026Q4,2.555365449960958
