target,model,target_quarter,horizon,actual,forecast,error,hist_n,hist_mean_error,hist_std_error,z_score,error_percentile
Headline,elastic_net,2026Q1,1,4.0,2.7426729683646514,1.2573270316353486,53,-0.17293671698113208,1.077679949026422,1.3271693046795419,88.67924528301887
Headline,elastic_net,2026Q2,2,3.9,2.67369964597705,1.2263003540229498,53,-0.13732960377358489,1.4476823480969283,0.9419400323483353,88.67924528301887
Headline,ensemble,2026Q1,1,4.0,3.154202127141211,0.8457978728587889,53,-0.04514201886792454,0.7082497990292281,1.2579458447399376,90.56603773584906
Headline,ensemble,2026Q2,2,3.9,3.127907455718476,0.7720925442815241,53,-0.03746035849056604,1.1114126204939871,0.7283999550160497,83.01886792452831
Headline,sarima,2026Q1,1,4.0,3.383962232455937,0.6160377675440629,77,-0.018067883116883107,0.5809846669879094,1.0914326774722647,87.01298701298701
Headline,sarima,2026Q2,2,3.9,3.4357483413363386,0.46425165866366136,77,-0.04386806493506496,0.9551699635034144,0.5319678622797376,77.92207792207793
Trimmed mean,elastic_net,2026Q1,1,3.5,2.805787595359335,0.6942124046406648,53,-0.026778075471698106,0.6298613920410722,1.1446811778318178,88.67924528301887
Trimmed mean,elastic_net,2026Q2,2,3.6,2.7803666956458795,0.8196333043541206,53,-0.07572716981132077,0.9690846801543581,0.9239238763147367,86.79245283018868
Trimmed mean,ensemble,2026Q1,1,3.5,3.156709433869217,0.3432905661307828,53,-0.014557320754716982,0.4208855768188608,0.850226062841562,88.67924528301887
Trimmed mean,ensemble,2026Q2,2,3.6,3.215628558969594,0.3843714410304062,53,-0.0394929245283019,0.7265209277725552,0.5834165945614759,86.79245283018868
Trimmed mean,sarima,2026Q1,1,3.5,3.5076312723790988,-0.007631272379098775,77,0.0036336493506493477,0.26523161775536,-0.04247201681715969,40.25974025974026
Trimmed mean,sarima,2026Q2,2,3.6,3.6508904222933083,-0.0508904222933082,77,0.01254018181818181,0.5261020994552075,-0.12056709938465189,49.35064935064935
