target,model,forecast_origin,target_quarter,error,is_recent
Headline,elastic_net,2010Q4,2011Q1,0.72337,False
Headline,elastic_net,2011Q1,2011Q2,0.830661,False
Headline,elastic_net,2011Q2,2011Q3,0.516074,False
Headline,elastic_net,2011Q3,2011Q4,-0.019229,False
Headline,elastic_net,2011Q4,2012Q1,-1.314392,False
Headline,elastic_net,2012Q1,2012Q2,-1.558238,False
Headline,elastic_net,2012Q2,2012Q3,-0.728065,False
Headline,elastic_net,2012Q3,2012Q4,-0.821177,False
Headline,elastic_net,2012Q4,2013Q1,-0.012264,False
Headline,elastic_net,2013Q1,2013Q2,-0.086312,False
Headline,elastic_net,2013Q2,2013Q3,-0.254887,False
Headline,elastic_net,2013Q3,2013Q4,-0.20542,False
Headline,elastic_net,2013Q4,2014Q1,0.248802,False
Headline,elastic_net,2014Q1,2014Q2,0.339462,False
Headline,elastic_net,2014Q2,2014Q3,-0.392087,False
Headline,elastic_net,2014Q3,2014Q4,-1.114753,False
Headline,elastic_net,2014Q4,2015Q1,-1.28616,False
Headline,elastic_net,2015Q1,2015Q2,-1.177466,False
Headline,elastic_net,2015Q2,2015Q3,-1.23002,False
Headline,elastic_net,2015Q3,2015Q4,-0.964392,False
Headline,elastic_net,2015Q4,2016Q1,-0.810167,False
Headline,elastic_net,2016Q1,2016Q2,-1.193086,False
Headline,elastic_net,2016Q2,2016Q3,-0.496797,False
Headline,elastic_net,2016Q3,2016Q4,-1.121321,False
Headline,elastic_net,2016Q4,2017Q1,0.064289,False
Headline,elastic_net,2017Q1,2017Q2,-0.474512,False
Headline,elastic_net,2017Q2,2017Q3,-0.570159,False
Headline,elastic_net,2017Q3,2017Q4,-0.341604,False
Headline,elastic_net,2017Q4,2018Q1,-0.139285,False
Headline,elastic_net,2018Q1,2018Q2,-0.353101,False
Headline,elastic_net,2018Q2,2018Q3,-0.532735,False
Headline,elastic_net,2018Q3,2018Q4,-1.024123,False
Headline,elastic_net,2018Q4,2019Q1,-1.116785,False
Headline,elastic_net,2019Q1,2019Q2,-0.642253,False
Headline,elastic_net,2019Q2,2019Q3,-0.288979,False
Headline,elastic_net,2019Q3,2019Q4,-0.622855,False
Headline,elastic_net,2019Q4,2020Q1,0.394801,False
Headline,elastic_net,2020Q1,2020Q2,-2.372344,False
Headline,elastic_net,2020Q2,2020Q3,-1.092128,False
Headline,elastic_net,2020Q3,2020Q4,0.192454,False
Headline,elastic_net,2020Q4,2021Q1,-0.918571,False
Headline,elastic_net,2021Q1,2021Q2,1.672391,False
Headline,elastic_net,2021Q2,2021Q3,0.908228,False
Headline,elastic_net,2021Q3,2021Q4,0.437026,False
Headline,elastic_net,2021Q4,2022Q1,2.42257,False
Headline,elastic_net,2022Q1,2022Q2,2.611423,False
Headline,elastic_net,2022Q2,2022Q3,2.928078,False
Headline,elastic_net,2022Q3,2022Q4,1.816984,False
Headline,elastic_net,2022Q4,2023Q1,1.418659,False
Headline,elastic_net,2023Q1,2023Q2,-0.117516,False
Headline,elastic_net,2023Q2,2023Q3,0.190326,False
Headline,elastic_net,2023Q3,2023Q4,-1.335279,False
Headline,elastic_net,2023Q4,2024Q1,-0.152782,False
Headline,elastic_net,2025Q4,2026Q1,1.2573270316353486,True
Headline,ensemble,2010Q4,2011Q1,0.758422,False
Headline,ensemble,2011Q1,2011Q2,0.280393,False
Headline,ensemble,2011Q2,2011Q3,-0.204431,False
Headline,ensemble,2011Q3,2011Q4,-0.294201,False
Headline,ensemble,2011Q4,2012Q1,-0.852393,False
Headline,ensemble,2012Q1,2012Q2,-0.616902,False
Headline,ensemble,2012Q2,2012Q3,-0.012773,False
Headline,ensemble,2012Q3,2012Q4,-0.567343,False
Headline,ensemble,2012Q4,2013Q1,-0.168127,False
Headline,ensemble,2013Q1,2013Q2,-0.166336,False
