target,model_family,forecast_origin,quarter,horizon,forecast,interval_lower,interval_upper
Headline,sarima,2025Q4,2026Q1,1,3.383962232455937,2.228238575649435,4.577823924537261
Headline,sarima,2025Q4,2026Q2,2,3.4357483413363386,1.8637574572133908,5.184098708077997
Headline,sarima,2025Q4,2026Q3,3,3.0934556760620002,0.9795695791247554,5.538074611944312
Headline,sarima,2025Q4,2026Q4,4,3.328199292197197,0.7867946134384121,6.2270514987958325
Headline,sarima,2025Q4,2027Q1,5,3.476342301319785,0.8757105395779492,6.498565802835211
Headline,sarima,2025Q4,2027Q2,6,3.2496685948064448,0.39832461900932525,6.14279883971562
Headline,sarima,2025Q4,2027Q3,7,3.308528673582337,0.5351697894681298,6.404745647690136
Headline,sarima,2025Q4,2027Q4,8,3.1866485282731674,0.3720893242658869,6.3206667350444565
Headline,elastic_net,2025Q4,2026Q1,1,2.7426729683646514,0.8295416960232291,6.495579242450548
Headline,elastic_net,2025Q4,2026Q2,2,2.67369964597705,0.3279831502701138,8.004830587366756
Headline,elastic_net,2025Q4,2026Q3,3,2.7416320151282667,0.2672806664599854,8.340559266459987
Headline,elastic_net,2025Q4,2026Q4,4,2.7424649111052997,0.2743273790363343,8.347605979036334
Headline,elastic_net,2025Q4,2027Q1,5,2.7431578947368425,0.3987016438596478,8.348980154385965
Headline,elastic_net,2025Q4,2027Q2,6,2.7234867067789326,0.3501878871864563,8.423466487186456
Headline,elastic_net,2025Q4,2027Q3,7,2.6637966926457075,0.36990851052116547,9.686132709979042
Headline,elastic_net,2025Q4,2027Q4,8,2.6185864186693566,0.3184847455114612,9.634759335696383
Headline,ensemble,2025Q4,2026Q1,1,3.154202127141211,1.1777812736781264,5.949197521431751
Headline,ensemble,2025Q4,2026Q2,2,3.127907455718476,0.22926991268463048,7.379701897062122
Headline,ensemble,2025Q4,2026Q3,3,2.9381592663706613,-0.8435635583208185,8.213611445950892
Headline,ensemble,2025Q4,2026Q4,4,3.0373226822362716,-1.3118430016822238,8.88536095578642
Headline,ensemble,2025Q4,2027Q1,5,3.1032884072747935,-1.1441975223144372,9.123634854146022
Headline,ensemble,2025Q4,2027Q2,6,2.9789488812129887,-1.3078690638035901,8.872142481277518
Headline,ensemble,2025Q4,2027Q3,7,2.9733908697119626,-1.2991671343690476,9.38458941123509
Headline,ensemble,2025Q4,2027Q4,8,2.892687753913889,-1.4291057764903359,8.589524487419759
Trimmed mean,sarima,2025Q4,2026Q1,1,3.5076312723790988,2.734039679457247,4.2454821510434915
Trimmed mean,sarima,2025Q4,2026Q2,2,3.6508904222933083,2.2058309315004334,5.028235532675697
Trimmed mean,sarima,2025Q4,2026Q3,3,3.616155717847827,1.5565430706949734,5.687387898514261
Trimmed mean,sarima,2025Q4,2026Q4,4,3.55833502879524,0.9237441056264895,6.2980011308348365
Trimmed mean,sarima,2025Q4,2027Q1,5,3.5245355756275485,0.5709450286055313,6.722383894313822
Trimmed mean,sarima,2025Q4,2027Q2,6,3.4976768562784546,0.29213740969675506,7.0022498470804315
Trimmed mean,sarima,2025Q4,2027Q3,7,3.4763335877499877,-0.07393710715417035,7.180160983531629
Trimmed mean,sarima,2025Q4,2027Q4,8,3.4593731695871752,-0.25069660424969475,7.321189020592403
Trimmed mean,elastic_net,2025Q4,2026Q1,1,2.8601432200771075,1.6080964208132407,6.475932658414579
Trimmed mean,elastic_net,2025Q4,2026Q2,2,2.828431874536024,1.8297854502248838,7.677312279654405
Trimmed mean,elastic_net,2025Q4,2026Q3,3,2.757425589749114,1.4256000393726798,7.8389256001005885
Trimmed mean,elastic_net,2025Q4,2026Q4,4,2.687131113635332,1.206062346953335,8.431499510626573
Trimmed mean,elastic_net,2025Q4,2027Q1,5,2.746936787758941,0.9936363710351426,9.097141301442692
Trimmed mean,elastic_net,2025Q4,2027Q2,6,2.746607835403495,0.6876165635427411,8.838215674685774
Trimmed mean,elastic_net,2025Q4,2027Q3,7,2.770967741935484,0.7048309419354846,8.782896051268818
Trimmed mean,elastic_net,2025Q4,2027Q4,8,2.7706521739130436,0.7045153739130443,8.806681267796403
Trimmed mean,ensemble,2025Q4,2026Q1,1,3.2984856103996223,2.48148456242981,4.583879143066881
Trimmed mean,ensemble,2025Q4,2026Q2,2,3.314969602212519,2.0545680822661154,5.479923694019089
Trimmed mean,ensemble,2025Q4,2026Q3,3,3.23516360090528,1.5281599410098023,6.031733296733929
Trimmed mean,ensemble,2025Q4,2026Q4,4,3.1372236848278785,1.0843335970569035,6.689066295115653
Trimmed mean,ensemble,2025Q4,2027Q1,5,3.144493479367288,0.9359642690189931,6.960537521568563
Trimmed mean,ensemble,2025Q4,2027Q2,6,3.124491475300119,0.8661795927836899,7.124741735183619
Trimmed mean,ensemble,2025Q4,2027Q3,7,3.121009301278778,0.487399104679727,7.1404552693221355
Trimmed mean,ensemble,2025Q4,2027Q4,8,3.0924441573705432,0.3450071241639092,7.100284161216383
