system,target,forecast_origin,quarter,component,contribution
System A,cpi_yoy,2025Q4,1995Q4,baseline,4.619149935222556
System A,cpi_yoy,2025Q4,1995Q4,commodity_growth,0.015463895786086456
System A,cpi_yoy,2025Q4,1995Q4,unemployment_rate,-0.05338489769636937
System A,cpi_yoy,2025Q4,1995Q4,cpi_yoy,0.3187710666877286
System A,cpi_yoy,2025Q4,1995Q4,inflation_expectations_business,0.0
System A,cpi_yoy,2025Q4,1995Q4,cash_rate,0.0
System A,cpi_yoy,2025Q4,1996Q1,baseline,3.9769879713688727
System A,cpi_yoy,2025Q4,1996Q1,commodity_growth,0.0639398623334615
System A,cpi_yoy,2025Q4,1996Q1,unemployment_rate,-0.07704820349550685
System A,cpi_yoy,2025Q4,1996Q1,cpi_yoy,-0.042773227135384506
System A,cpi_yoy,2025Q4,1996Q1,inflation_expectations_business,-0.2190652701986003
System A,cpi_yoy,2025Q4,1996Q1,cash_rate,0.09795886712715952
System A,cpi_yoy,2025Q4,1996Q2,baseline,3.355933128882522
System A,cpi_yoy,2025Q4,1996Q2,commodity_growth,0.03282045365243293
System A,cpi_yoy,2025Q4,1996Q2,unemployment_rate,-0.1292793743390552
System A,cpi_yoy,2025Q4,1996Q2,cpi_yoy,-0.022944209880803507
System A,cpi_yoy,2025Q4,1996Q2,inflation_expectations_business,-0.3831777519225014
System A,cpi_yoy,2025Q4,1996Q2,cash_rate,0.24664775360740765
System A,cpi_yoy,2025Q4,1996Q3,baseline,2.828906005373849
System A,cpi_yoy,2025Q4,1996Q3,commodity_growth,0.054654974013970195
System A,cpi_yoy,2025Q4,1996Q3,unemployment_rate,-0.3841968691324462
System A,cpi_yoy,2025Q4,1996Q3,cpi_yoy,-0.41685113494570175
System A,cpi_yoy,2025Q4,1996Q3,inflation_expectations_business,-0.3566800213328997
System A,cpi_yoy,2025Q4,1996Q3,cash_rate,0.37416704602322637
System A,cpi_yoy,2025Q4,1996Q4,baseline,2.4070963399371372
