system,target,forecast_origin,response,shock,horizon,irf,lower,upper,lower_quantile,upper_quantile,bootstrap_replications
System A,cpi_yoy,2025Q4,cpi_yoy,commodity_growth,1,0.16034797356824756,0.03158465470377178,0.2512299746958352,0.1,0.9,1000
System A,cpi_yoy,2025Q4,cpi_yoy,unemployment_rate,1,-0.20560336311879754,-0.28431501085138894,-0.07481472502560718,0.1,0.9,1000
System A,cpi_yoy,2025Q4,cpi_yoy,inflation_expectations_business,1,0.19774459780143078,0.10073008386205812,0.32973330372809634,0.1,0.9,1000
System A,cpi_yoy,2025Q4,cpi_yoy,cash_rate,1,0.17609112724060028,0.10437565378630602,0.2357827734141202,0.1,0.9,1000
System A,cpi_yoy,2025Q4,cpi_yoy,commodity_growth,2,0.195689843142512,0.03640554077685646,0.3388680758823772,0.1,0.9,1000
System A,cpi_yoy,2025Q4,cpi_yoy,unemployment_rate,2,-0.2541945935040628,-0.33226557031305753,-0.1352501365714636,0.1,0.9,1000
System A,cpi_yoy,2025Q4,cpi_yoy,inflation_expectations_business,2,0.292422655270988,0.1921273837543144,0.42440652858100214,0.1,0.9,1000
System A,cpi_yoy,2025Q4,cpi_yoy,cash_rate,2,0.23531960452049702,0.12808719476646696,0.30896279771795127,0.1,0.9,1000
System A,cpi_yoy,2025Q4,cpi_yoy,commodity_growth,3,0.12560646251966476,-0.048373284352037416,0.2952390731840629,0.1,0.9,1000
System A,cpi_yoy,2025Q4,cpi_yoy,unemployment_rate,3,-0.2774857188943192,-0.3631194356392158,-0.15479899176793496,0.1,0.9,1000
System A,cpi_yoy,2025Q4,cpi_yoy,inflation_expectations_business,3,0.3359834873915901,0.20464410139826128,0.4784883571911144,0.1,0.9,1000
System A,cpi_yoy,2025Q4,cpi_yoy,cash_rate,3,0.24209986658720353,0.11329680448769694,0.3368052517243114,0.1,0.9,1000
System A,cpi_yoy,2025Q4,cpi_yoy,commodity_growth,4,0.04577340922403437,-0.10634577788388327,0.21885230862212682,0.1,0.9,1000
System A,cpi_yoy,2025Q4,cpi_yoy,unemployment_rate,4,-0.25513100017604756,-0.33672347292458116,-0.12387525487616867,0.1,0.9,1000
System A,cpi_yoy,2025Q4,cpi_yoy,inflation_expectations_business,4,0.3259726636071949,0.18997786869612937,0.4455566761967998,0.1,0.9,1000
System A,cpi_yoy,2025Q4,cpi_yoy,cash_rate,4,0.20026206791823908,0.058613431803414724,0.2981824304453847,0.1,0.9,1000
System A,cpi_yoy,2025Q4,cpi_yoy,commodity_growth,5,0.005298624111251909,-0.11444910603930054,0.16401036481189007,0.1,0.9,1000
System A,cpi_yoy,2025Q4,cpi_yoy,unemployment_rate,5,-0.209648201427312,-0.2856227222324999,-0.062446998263038137,0.1,0.9,1000
System A,cpi_yoy,2025Q4,cpi_yoy,inflation_expectations_business,5,0.2831102771007265,0.13575427972935897,0.3856213869499224,0.1,0.9,1000
System A,cpi_yoy,2025Q4,cpi_yoy,cash_rate,5,0.12460495516634329,-0.024107067713544365,0.21775296687066018,0.1,0.9,1000
System A,cpi_yoy,2025Q4,cpi_yoy,commodity_growth,6,0.0003430078441915979,-0.07865130310232718,0.13265316909000627,0.1,0.9,1000
System A,cpi_yoy,2025Q4,cpi_yoy,unemployment_rate,6,-0.15928175793953184,-0.2311856135435213,-0.010192618557088513,0.1,0.9,1000
System A,cpi_yoy,2025Q4,cpi_yoy,inflation_expectations_business,6,0.22048545181714738,0.06935564026821084,0.29988669587669425,0.1,0.9,1000
System A,cpi_yoy,2025Q4,cpi_yoy,cash_rate,6,0.04177929364038449,-0.1093197038341507,0.13377773068440937,0.1,0.9,1000
System A,cpi_yoy,2025Q4,cpi_yoy,commodity_growth,7,0.013852098919292434,-0.04392221592526219,0.12919123490727447,0.1,0.9,1000
System A,cpi_yoy,2025Q4,cpi_yoy,unemployment_rate,7,-0.11355590366989354,-0.17568984499889254,0.03658287066182572,0.1,0.9,1000
System A,cpi_yoy,2025Q4,cpi_yoy,inflation_expectations_business,7,0.15631086246994608,0.005946048181159092,0.2249150919005789,0.1,0.9,1000
System A,cpi_yoy,2025Q4,cpi_yoy,cash_rate,7,-0.02941077117471107,-0.17295152669466604,0.06015102795964846,0.1,0.9,1000
System A,cpi_yoy,2025Q4,cpi_yoy,commodity_growth,8,0.032937633570817214,-0.018573637018788478,0.13639975209955252,0.1,0.9,1000
System A,cpi_yoy,2025Q4,cpi_yoy,unemployment_rate,8,-0.07551971671135632,-0.13081025001346597,0.07062125342978123,0.1,0.9,1000
System A,cpi_yoy,2025Q4,cpi_yoy,inflation_expectations_business,8,0.0977632233832524,-0.04441028740452517,0.154408598901951,0.1,0.9,1000
System A,cpi_yoy,2025Q4,cpi_yoy,cash_rate,8,-0.08162398662431607,-0.2149888919270944,0.002049348075838187,0.1,0.9,1000
System B,trimmed_mean_cpi_yoy,2025Q4,trimmed_mean_cpi_yoy,commodity_growth,1,0.08862430958667941,0.032004823780964586,0.1297294950056605,0.1,0.9,1000
System B,trimmed_mean_cpi_yoy,2025Q4,trimmed_mean_cpi_yoy,unemployment_rate,1,-0.09936993291101957,-0.12685121405357852,-0.026481503355266122,0.1,0.9,1000
System B,trimmed_mean_cpi_yoy,2025Q4,trimmed_mean_cpi_yoy,inflation_expectations_business,1,0.06886486173467862,0.04254211094293887,0.1067294421727885,0.1,0.9,1000
System B,trimmed_mean_cpi_yoy,2025Q4,trimmed_mean_cpi_yoy,cash_rate,1,-0.017900642387088946,-0.031892639274427245,0.015224685268467241,0.1,0.9,1000
